publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	coverage_notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type	medium 	monograph_parent_collection_title 	subject_area 	listprice_eur 	listprice_gbp 	listprice_usd 
Water Resources in Algeria - Part II	978-3-030-57886-2	978-3-030-57887-9							http://link.springer.com/10.1007/978-3-030-57887-9	Negm	10.1007/978-3-030-57887-9		fulltext		Springer International Publishing	monograph	2020	2020	98	1	Costa	698		P	Book	Testbooks	Volkswirtschaftslehre	3342.16	6465.04	9639.83
Bioavailability of Organic Chemicals in Soil and Sediment	978-3-030-57918-0	978-3-030-57919-7							http://link.springer.com/10.1007/978-3-030-57919-7	Ortega-Calvo	10.1007/978-3-030-57919-7		fulltext		Springer International Publishing	monograph	2020	2020	100	1	Costa	698		P	Book	Testing Study collection 	Betriebswirtschaftslehre	7219.63	3048.31	1317.2
Water Resources Management in Central Asia	978-3-030-57985-2	978-3-030-57986-9							http://link.springer.com/10.1007/978-3-030-57986-9	Zonn	10.1007/978-3-030-57986-9		fulltext		Springer International Publishing	monograph	2020	2020	105	1	Costa	698		P	Book	Test University Press	Volkswirtschaftslehre	3486.22	2119.46	9639.83
Chemical Epigenetics	978-3-030-42981-2	978-3-030-42982-9							http://link.springer.com/10.1007/978-3-030-42982-9	Mai	10.1007/978-3-030-42982-9		fulltext		Springer International Publishing	monograph	2020	2020	33	1	Weyandt	7355		P	Book	TestparnetCollection	Betriebswirtschaftslehre	3916.52	5858.16	7164.79
Drug Delivery Challenges and Novel Therapeutic Approaches for Retinal Diseases	978-3-030-56618-0	978-3-030-56619-7							http://link.springer.com/10.1007/978-3-030-56619-7	Cioffi	10.1007/978-3-030-56619-7		fulltext		Springer International Publishing	monograph	2020	2020	35	1	Costa	7355		P	Book	Testbooks	Betriebswirtschaftslehre	6455.52	7513.89	632.35
Fluorescent Imaging in Medicinal Chemistry	978-3-030-46706-7	978-3-030-46707-4							http://link.springer.com/10.1007/978-3-030-46707-4	Cheng	10.1007/978-3-030-46707-4		fulltext		Springer International Publishing	monograph	2020	2020	34	1	Costa	7355		P	Book	Testing Study collection 	Betriebswirtschaftslehre	4729.71	817.94	2354.98
Encyclopedia of Polymeric Nanomaterials		978-3-642-36199-9							http://link.springer.com/10.1007/978-3-642-36199-9	Kobayashi	10.1007/978-3-642-36199-9		fulltext		Springer Berlin Heidelberg	monograph	2020	2020		0	Hawkins			P	Book	Test University Press	Betriebswirtschaftslehre	2647.16	8023.2	9053.44
Handbook of Food Chemistry		978-3-642-41609-5							http://link.springer.com/10.1007/978-3-642-41609-5	Cheung	10.1007/978-3-642-41609-5		fulltext		Springer Berlin Heidelberg	monograph	2020	2020		0	Tang			P	Book	TestparnetCollection	Betriebswirtschaftslehre	6465.04	4779.43	3114.78
Encyclopedia of Membranes		978-3-642-40872-4							http://link.springer.com/10.1007/978-3-642-40872-4	Drioli	10.1007/978-3-642-40872-4		fulltext		Springer Berlin Heidelberg	monograph	2020	2020		0	Pauly			P	Book	Testbooks	Volkswirtschaftslehre	3048.31	3444.59	532.48
Handbook of Relativistic Quantum Chemistry		978-3-642-41611-8							http://link.springer.com/10.1007/978-3-642-41611-8	Liu	10.1007/978-3-642-41611-8		fulltext		Springer Berlin Heidelberg	monograph	2020	2020		0	Tang			P	Book	Testing Study collection 	Volkswirtschaftslehre	2119.46	1460.95	956.26
Functional Biopolymers		978-3-319-92066-5							http://link.springer.com/10.1007/978-3-319-92066-5	Jafar Mazumder	10.1007/978-3-319-92066-5		fulltext		Springer International Publishing	monograph	2020	2020		0	Costa	15068		P	Book	Test University Press	Betriebswirtschaftslehre	5858.16	7679.29	817.94
Functional Polymers		978-3-319-92067-2							http://link.springer.com/10.1007/978-3-319-92067-2	Jafar Mazumder	10.1007/978-3-319-92067-2		fulltext		Springer International Publishing	monograph	2020	2020		0	Costa	15068		P	Book	TestparnetCollection	Betriebswirtschaftslehre	7513.89	6130.19	8023.2
Liquid Crystalline Polymers	978-3-030-43349-9	978-3-030-43350-5							http://link.springer.com/10.1007/978-3-030-43350-5	Zhu	10.1007/978-3-030-43350-5		fulltext		Springer International Publishing	monograph	2020	2020		1	Hollingworth	15068		P	Book	Testbooks	Betriebswirtschaftslehre	4131.42	4131.42	4779.43
Electromechanically Active Polymers		978-3-319-31767-0							http://link.springer.com/10.1007/978-3-319-31767-0	Carpi	10.1007/978-3-319-31767-0		fulltext		Springer International Publishing	monograph	2020	2020		0	Bellantone	15068		P	Book	Testing Study collection 	Betriebswirtschaftslehre	8385.28	8385.28	3444.59
Polymers and Polymeric Composites: A Reference Series		978-3-642-37179-0							http://link.springer.com/10.1007/978-3-642-37179-0	Kar	10.1007/978-3-642-37179-0		fulltext		Springer Berlin Heidelberg	monograph	2020	2020		0	Hawkins	15068		P	Book	Test University Press	Betriebswirtschaftslehre	9073.5	9073.5	1460.95
Cellulose-Based Superabsorbent Hydrogels		978-3-319-76573-0							http://link.springer.com/10.1007/978-3-319-76573-0	Mondal	10.1007/978-3-319-76573-0		fulltext		Springer International Publishing	monograph	2020	2020		0	Alkan	15068		P	Book	TestparnetCollection	Betriebswirtschaftslehre	4639.0	4639.0	7679.29
Liposome-Based Drug Delivery Systems		978-3-662-49231-4							http://link.springer.com/10.1007/978-3-662-49231-4	Lu	10.1007/978-3-662-49231-4		fulltext		Springer Berlin Heidelberg	monograph	2020	2020		0	Zhang	13484		P	Book	Testbooks	Betriebswirtschaftslehre	3570.71	3570.71	6130.19
Handbook of Photovoltaic Silicon		978-3-662-52735-1							http://link.springer.com/10.1007/978-3-662-52735-1	Yang	10.1007/978-3-662-52735-1		fulltext		Springer Berlin Heidelberg	monograph	2020	2020		0	Huang			P	Book	Testing Study collection 	Betriebswirtschaftslehre	1039.77	7164.79	8569.38
Chemistry of Renewables	978-3-662-61429-7	978-3-662-61430-3							http://link.springer.com/10.1007/978-3-662-61430-3	Behr	10.1007/978-3-662-61430-3		fulltext		Springer Berlin Heidelberg	monograph	2020	2020		1	Hollingworth			P	Book	Test University Press	Betriebswirtschaftslehre	4930.1	632.35	585.66
Biomass Burning in Sub-Saharan Africa	978-94-007-0807-5	978-94-007-0808-2							http://link.springer.com/10.1007/978-94-007-0808-2	Mammino	10.1007/978-94-007-0808-2		fulltext		Springer Netherlands	monograph	2020	2020		1	Costa			P	Book	TestparnetCollection	Volkswirtschaftslehre	529.02	2354.98	3342.16
Encyclopedia of Nanotechnology		978-94-007-6178-0							http://link.springer.com/10.1007/978-94-007-6178-0	Bhushan	10.1007/978-94-007-6178-0		fulltext		Springer Netherlands	monograph	2020	2020		0				P	Book	Testbooks	Betriebswirtschaftslehre	8263.61	9053.44	7219.63
Handbook of Computational Chemistry		978-94-007-6169-8							http://link.springer.com/10.1007/978-94-007-6169-8	Leszczynski	10.1007/978-94-007-6169-8		fulltext		Springer Netherlands	monograph	2020	2020		0	Ojo			P	Book	Testing Study collection 	Betriebswirtschaftslehre	7702.62	3114.78	3486.22
Handbook of Biorefinery Research and Technology		978-94-007-6724-9							http://link.springer.com/10.1007/978-94-007-6724-9	Park	10.1007/978-94-007-6724-9		fulltext		Springer Netherlands	monograph	2020	2020		0	Chae			P	Book	Test University Press	Betriebswirtschaftslehre	2008.57	532.48	3916.52
Ultra-High Temperature Materials III	978-94-024-2037-1	978-94-024-2039-5							http://link.springer.com/10.1007/978-94-024-2039-5	Shabalin	10.1007/978-94-024-2039-5		fulltext		Springer Netherlands	monograph	2020	2020		1	Niko			P	Book	TestparnetCollection	Betriebswirtschaftslehre	476.75	956.26	6455.52
Chemical Physics of Molecular Condensed Matter	978-981-15-9022-1	978-981-15-9023-8							http://link.springer.com/10.1007/978-981-15-9023-8	Saito	10.1007/978-981-15-9023-8		fulltext		Springer Singapore	monograph	2020	2020	104	1	Koizumi	632		P	Book	Testbooks	Betriebswirtschaftslehre	2941.0	817.94	4729.71
Black Phosphorus	978-3-030-29554-7	978-3-030-29555-4							http://link.springer.com/10.1007/978-3-030-29555-4	Inamuddin	10.1007/978-3-030-29555-4		fulltext		Springer International Publishing	monograph	2020	2020		1	Castro	4288		P	Book	Testing Study collection 	Betriebswirtschaftslehre	994.43	8023.2	2647.16
Self-standing Substrates	978-3-030-29521-9	978-3-030-29522-6							http://link.springer.com/10.1007/978-3-030-29522-6	Inamuddin	10.1007/978-3-030-29522-6		fulltext		Springer International Publishing	monograph	2020	2020		1	Castro	4288		P	Book	Test University Press	Betriebswirtschaftslehre	5074.35	4779.43	6465.04
Integrative Nanomedicine for New Therapies	978-3-030-36259-1	978-3-030-36260-7							http://link.springer.com/10.1007/978-3-030-36260-7	Krishnan	10.1007/978-3-030-36260-7		fulltext		Springer International Publishing	monograph	2020	2020		1	Castro	4288		P	Book	TestparnetCollection	Betriebswirtschaftslehre	6758.96	3444.59	3048.31
Mechanics of Metamaterials with Negative Parameters	978-981-15-6445-1	978-981-15-6446-8							http://link.springer.com/10.1007/978-981-15-6446-8	Lim	10.1007/978-981-15-6446-8		fulltext		Springer Singapore	monograph	2020	2020		1	Premnath	4288		P	Book	Testbooks	Volkswirtschaftslehre	9460.33	1460.95	2119.46
Nanostructured Materials	978-3-030-26144-3	978-3-030-26145-0							http://link.springer.com/10.1007/978-3-030-26145-0	Thangadurai	10.1007/978-3-030-26145-0		fulltext		Springer International Publishing	monograph	2020	2020		1	Castro	4288		P	Book	Testing Study collection 	Betriebswirtschaftslehre	1405.24	7679.29	5858.16
Representation Surfaces for Physical Properties of Materials	978-3-030-40869-5	978-3-030-40870-1							http://link.springer.com/10.1007/978-3-030-40870-1	Laso	10.1007/978-3-030-40870-1		fulltext		Springer International Publishing	monograph	2020	2020		1	Riva	4288		P	Book	Test University Press	Volkswirtschaftslehre	8327.63	6130.19	7513.89
Nanostructured Metal-Oxide Electrode Materials for Water Purification	978-3-030-43345-1	978-3-030-43346-8							http://link.springer.com/10.1007/978-3-030-43346-8	Ama	10.1007/978-3-030-43346-8		fulltext		Springer International Publishing	monograph	2020	2020		1	Evenson	4288		P	Book	TestparnetCollection	Betriebswirtschaftslehre	7119.29	8569.38	4131.42
Engineering of Thermoplastic Elastomer with Graphene and Other Anisotropic Nanofillers	978-981-15-9084-9	978-981-15-9085-6							http://link.springer.com/10.1007/978-981-15-9085-6	Bandyopadhyay	10.1007/978-981-15-9085-6		fulltext		Springer Singapore	monograph	2020	2020		1	Bose	4288		P	Book	Testbooks	Betriebswirtschaftslehre	30.07	585.66	8385.28
MXenes and MXenes-based Composites	978-3-030-59372-8	978-3-030-59373-5							http://link.springer.com/10.1007/978-3-030-59373-5	Xiao	10.1007/978-3-030-59373-5		fulltext		Springer International Publishing	monograph	2020	2020		1	Castro	4288		P	Book	Testing Study collection 	Volkswirtschaftslehre	6883.98	3342.16	9073.5
Surface Engineering of Modern Materials	978-3-030-43231-7	978-3-030-43232-4							http://link.springer.com/10.1007/978-3-030-43232-4	Gupta	10.1007/978-3-030-43232-4		fulltext		Springer International Publishing	monograph	2020	2020		1	Castro	4288		P	Book	Test University Press	Volkswirtschaftslehre	634.12	7219.63	4639.0
Studies on Graphene-Based Nanomaterials for Biomedical Applications	978-981-15-2232-1	978-981-15-2233-8							http://link.springer.com/10.1007/978-981-15-2233-8	Yoo	10.1007/978-981-15-2233-8		fulltext		Springer Singapore	monograph	2020	2020		1	Chae	8790		P	Book	TestparnetCollection	Betriebswirtschaftslehre	1317.2	3486.22	3570.71
Uncertainty-aware Integration of Control with Process Operations and Multi-parametric Programming Under Global Uncertainty	978-3-030-38136-3	978-3-030-38137-0							http://link.springer.com/10.1007/978-3-030-38137-0	Charitopoulos	10.1007/978-3-030-38137-0		fulltext		Springer International Publishing	monograph	2020	2020		1	Weyandt	8790		P	Book	Testbooks	Betriebswirtschaftslehre	9639.83	3916.52	1039.77
Study on the Cellular Regulation and Function of Lysine Malonylation, Glutarylation and Crotonylation	978-981-15-2508-7	978-981-15-2509-4							http://link.springer.com/10.1007/978-981-15-2509-4	Bao	10.1007/978-981-15-2509-4		fulltext		Springer Singapore	monograph	2020	2020		1	Guo	8790		P	Book	Testing Study collection 	Betriebswirtschaftslehre	5290.13	6455.52	4930.1
Electronic Communication in Heterometallated Porphyrin Oligomers	978-3-030-39100-3	978-3-030-39101-0							http://link.springer.com/10.1007/978-3-030-39101-0	Cremers	10.1007/978-3-030-39101-0		fulltext		Springer International Publishing	monograph	2020	2020		1	Weyandt	8790		P	Book	Test University Press	Betriebswirtschaftslehre	1996.31	4729.71	529.02
Novel Embedded Metal-mesh Transparent Electrodes	978-981-15-2917-7	978-981-15-2918-4							http://link.springer.com/10.1007/978-981-15-2918-4	Khan	10.1007/978-981-15-2918-4		fulltext		Springer Singapore	monograph	2020	2020		1	Shen	8790		P	Book	TestparnetCollection	Betriebswirtschaftslehre	5888.93	2647.16	8263.61
Synthesis of Optically Active Oxymethylenehelicene Oligomers and Self-assembly Phenomena at a Liquid–Solid Interface	978-981-15-3191-0	978-981-15-3192-7							http://link.springer.com/10.1007/978-981-15-3192-7	Sawato	10.1007/978-981-15-3192-7		fulltext		Springer Singapore	monograph	2020	2020		1	Koizumi	8790		P	Book	Testbooks	Volkswirtschaftslehre	2684.1	6465.04	7702.62
Structure–Activity Relationships for Development of Neurokinin-3 Receptor Antagonists	978-981-15-2964-1	978-981-15-2965-8							http://link.springer.com/10.1007/978-981-15-2965-8	Yamamoto	10.1007/978-981-15-2965-8		fulltext		Springer Singapore	monograph	2020	2020		1	Koizumi	8790		P	Book	Testing Study collection 	Betriebswirtschaftslehre	1819.72	3048.31	2008.57
Artificial Assemblies with Cooperative DNA Recognition	978-981-15-4422-4	978-981-15-4423-1							http://link.springer.com/10.1007/978-981-15-4423-1	YU	10.1007/978-981-15-4423-1		fulltext		Springer Singapore	monograph	2020	2020		1	Koizumi	8790		P	Book	Test University Press	Betriebswirtschaftslehre	8500.01	2119.46	476.75
Novel Luminescent Crystalline Materials of Gold(I) Complexes with Stimuli-Responsive Properties	978-981-15-4062-2	978-981-15-4063-9							http://link.springer.com/10.1007/978-981-15-4063-9	Jin	10.1007/978-981-15-4063-9		fulltext		Springer Singapore	monograph	2020	2020		1	Koizumi	8790		P	Book	TestparnetCollection	Betriebswirtschaftslehre	3420.71	5858.16	2941.0
Investigating a Phase Conjugate Mirror for Magnon-Based Computing	978-3-030-49744-6	978-3-030-49745-3							http://link.springer.com/10.1007/978-3-030-49745-3	Inglis	10.1007/978-3-030-49745-3		fulltext		Springer International Publishing	monograph	2020	2020		1	Lahee	8790		P	Book	Testbooks	Betriebswirtschaftslehre	2310.17	7513.89	994.43
Novel Devices Based on Relaxor Ferroelectric PMN-PT Single Crystals	978-981-15-4311-1	978-981-15-4312-8							http://link.springer.com/10.1007/978-981-15-4312-8	Fang	10.1007/978-981-15-4312-8		fulltext		Springer Singapore	monograph	2020	2020		1	Guo	8790		P	Book	Testing Study collection 	Betriebswirtschaftslehre	2508.14	4131.42	5074.35
Fluid Flow and Heat Transfer in Porous Media Manufactured by a Space Holder Method	978-3-030-53601-5	978-3-030-53602-2							http://link.springer.com/10.1007/978-3-030-53602-2	Lu	10.1007/978-3-030-53602-2		fulltext		Springer International Publishing	monograph	2020	2020		1	Doyle	8790		P	Book	Test University Press	Betriebswirtschaftslehre	239.05	8385.28	6758.96
Time-Resolved Photoionisation Studies of Polyatomic Molecules	978-3-030-53628-2	978-3-030-53629-9							http://link.springer.com/10.1007/978-3-030-53629-9	Bjørnholst	10.1007/978-3-030-53629-9		fulltext		Springer International Publishing	monograph	2020	2020		1	Costa	8790		P	Book	TestparnetCollection	Betriebswirtschaftslehre	4320.52	9073.5	9460.33
Emergent Transport Properties of Magnetic Topological Insulator Heterostructures	978-981-15-7182-4	978-981-15-7183-1							http://link.springer.com/10.1007/978-981-15-7183-1	Yasuda	10.1007/978-981-15-7183-1		fulltext		Springer Singapore	monograph	2020	2020		1	Tokuno	8790		P	Book	Testbooks	Betriebswirtschaftslehre	6700.42	4639.0	1405.24
Manipulating Anisotropic Transport and Superconductivity by Focused Ion Beam Microstructuring	978-3-030-51361-0	978-3-030-51362-7							http://link.springer.com/10.1007/978-3-030-51362-7	Bachmann	10.1007/978-3-030-51362-7		fulltext		Springer International Publishing	monograph	2020	2020		1	Lahee	8790		P	Book	Testing Study collection 	Betriebswirtschaftslehre	7457.27	3570.71	8327.63
Palladium and Nickel Catalyzed Transformations Forming Functionalized Heterocycles	978-3-030-54076-0	978-3-030-54077-7							http://link.springer.com/10.1007/978-3-030-54077-7	Yoon	10.1007/978-3-030-54077-7		fulltext		Springer International Publishing	monograph	2020	2020		1	Costa	8790		P	Book	Test University Press	Betriebswirtschaftslehre	402.55	1039.77	7119.29
Key Structural Factors of Group 5 Metal Oxide Clusters for Base Catalytic Application	978-981-15-7347-7	978-981-15-7348-4							http://link.springer.com/10.1007/978-981-15-7348-4	Hayashi	10.1007/978-981-15-7348-4		fulltext		Springer Singapore	monograph	2020	2020		1	Koizumi	8790		P	Book	TestparnetCollection	Volkswirtschaftslehre	6481.52	4930.1	30.07
Studies on Green Synthetic Reactions Based on Formic Acid from Biomass	978-981-15-7622-5	978-981-15-7623-2							http://link.springer.com/10.1007/978-981-15-7623-2	Fu	10.1007/978-981-15-7623-2		fulltext		Springer Singapore	monograph	2020	2020		1	Guo	8790		P	Book	Testbooks	Betriebswirtschaftslehre	5114.75	529.02	6883.98
Atomic-Scale Insights into Emergent Photovoltaic Absorbers	978-3-030-55707-2	978-3-030-55708-9							http://link.springer.com/10.1007/978-3-030-55708-9	Ganose	10.1007/978-3-030-55708-9		fulltext		Springer International Publishing	monograph	2020	2020		1	Costa	8790		P	Book	Testing Study collection 	Betriebswirtschaftslehre	2648.01	8263.61	634.12
Development of Selective DNA-Interacting Ligands	978-981-15-7715-4	978-981-15-7716-1							http://link.springer.com/10.1007/978-981-15-7716-1	Asamitsu	10.1007/978-981-15-7716-1		fulltext		Springer Singapore	monograph	2020	2020		1	Koizumi	8790		P	Book	Test University Press	Betriebswirtschaftslehre	5844.52	7702.62	1317.2
Condensed and Melting Droplet Behavior on Superhydrophobic Surfaces	978-981-15-8492-3	978-981-15-8493-0							http://link.springer.com/10.1007/978-981-15-8493-0	Chu	10.1007/978-981-15-8493-0		fulltext		Springer Singapore	monograph	2020	2020		1	Huang	8790		P	Book	TestparnetCollection	Volkswirtschaftslehre	2168.4	2008.57	9639.83
Total Synthesis of Indole Alkaloids	978-981-15-8651-4	978-981-15-8652-1							http://link.springer.com/10.1007/978-981-15-8652-1	Matsuoka	10.1007/978-981-15-8652-1		fulltext		Springer Singapore	monograph	2020	2020		1	Koizumi	8790		P	Book	Testbooks	Betriebswirtschaftslehre	9004.57	476.75	5290.13
Optoelectronic Properties of Graphene-Based van der Waals Hybrids	978-3-030-59626-2	978-3-030-59627-9							http://link.springer.com/10.1007/978-3-030-59627-9	Roy	10.1007/978-3-030-59627-9		fulltext		Springer International Publishing	monograph	2020	2020		1	Lahee	8790		P	Book	Testing Study collection 	Betriebswirtschaftslehre	7019.2	2941.0	1996.31
Magnetic Dynamics in Antiferromagnetically-Coupled Ferrimagnets	978-981-15-9175-4	978-981-15-9176-1							http://link.springer.com/10.1007/978-981-15-9176-1	Okuno	10.1007/978-981-15-9176-1		fulltext		Springer Singapore	monograph	2020	2020		1	Koizumi	8790		P	Book	Test University Press	Betriebswirtschaftslehre	322.37	994.43	5888.93
Bismuth-Ferrite-Based Electrochemical Supercapacitors	978-3-030-16717-2	978-3-030-16718-9							http://link.springer.com/10.1007/978-3-030-16718-9	Jadhav	10.1007/978-3-030-16718-9		fulltext		Springer International Publishing	monograph	2020	2020		1	Evenson	10111		P	Book	TestparnetCollection	Betriebswirtschaftslehre	5802.84	5074.35	2684.1
One-dimensional Transition Metal Oxides and Their Analogues for Batteries	978-981-15-5065-2	978-981-15-5066-9							http://link.springer.com/10.1007/978-981-15-5066-9	Pang	10.1007/978-981-15-5066-9		fulltext		Springer Singapore	monograph	2020	2020		1	Guo	10111		P	Book	Testbooks	Betriebswirtschaftslehre	3046.86	6758.96	1819.72
Microbially Induced Corrosion and its Mitigation	978-981-15-8017-8	978-981-15-8019-2							http://link.springer.com/10.1007/978-981-15-8019-2	Singh	10.1007/978-981-15-8019-2		fulltext		Springer Singapore	monograph	2020	2020		1	D'Silva	10111		P	Book	Testing Study collection 	Betriebswirtschaftslehre	3616.77	9460.33	8500.01
Coronary Artery Disease and The Evolution of Angioplasty Devices	978-3-030-42442-8	978-3-030-42443-5							http://link.springer.com/10.1007/978-3-030-42443-5	King	10.1007/978-3-030-42443-5		fulltext		Springer International Publishing	monograph	2020	2020		1	Packer	10111		P	Book	Test University Press	Betriebswirtschaftslehre	3711.12	1405.24	3420.71
Engineered Antimicrobial Surfaces	978-981-15-4629-7	978-981-15-4630-3							http://link.springer.com/10.1007/978-981-15-4630-3	Snigdha	10.1007/978-981-15-4630-3		fulltext		Springer Singapore	monograph	2020	2020		1	Meherishi	16122		P	Book	Testbooks	Volkswirtschaftslehre	969.72	6481.52	8735.95
Handbook of Macrocyclic Supramolecular Assembly		978-981-13-1744-6							http://link.springer.com/10.1007/978-981-13-1744-6	Liu	10.1007/978-981-13-1744-6		fulltext		Springer Singapore	monograph	2020	2020		0	Dong			P	Book	Testing Study collection 	Betriebswirtschaftslehre	2808.63	5114.75	9245.54
Advanced Materials for Defense	978-3-030-34122-0	978-3-030-34123-7							http://link.springer.com/10.1007/978-3-030-34123-7	Fangueiro	10.1007/978-3-030-34123-7		fulltext		Springer International Publishing	monograph	2020	2020	4	1	Castro	16157		P	Book	Test University Press	Volkswirtschaftslehre	3886.97	2648.01	4584.32
