publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	coverage_notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type
The Rivers of Montenegro	978-3-030-55711-9	978-3-030-55712-6							http://link.springer.com/10.1007/978-3-030-55712-6	Pešić	10.1007/978-3-030-55712-6		fulltext		Springer International Publishing	monograph	2020	2020	93	1	Costa	698		P
Non-Steroidal Anti-Inflammatory Drugs in Water	978-3-030-56293-9	978-3-030-56294-6							http://link.springer.com/10.1007/978-3-030-56294-6	Gómez-Oliván	10.1007/978-3-030-56294-6		fulltext		Springer International Publishing	monograph	2020	2020	96	1	Costa	698		P
Sunscreens in Coastal Ecosystems	978-3-030-56076-8	978-3-030-56077-5							http://link.springer.com/10.1007/978-3-030-56077-5	Tovar-Sánchez	10.1007/978-3-030-56077-5		fulltext		Springer International Publishing	monograph	2020	2020	94	1	Costa	698		P
Microplastics in Terrestrial Environments	978-3-030-56270-0	978-3-030-56271-7							http://link.springer.com/10.1007/978-3-030-56271-7	He	10.1007/978-3-030-56271-7		fulltext		Springer International Publishing	monograph	2020	2020	95	1	Costa	698		P
Contaminants of the Great Lakes	978-3-030-57873-2	978-3-030-57874-9							http://link.springer.com/10.1007/978-3-030-57874-9	Crossman	10.1007/978-3-030-57874-9		fulltext		Springer International Publishing	monograph	2020	2020	101	1	Costa	698		P
Water Resources in Algeria - Part I	978-3-030-57894-7	978-3-030-57895-4							http://link.springer.com/10.1007/978-3-030-57895-4	Negm	10.1007/978-3-030-57895-4		fulltext		Springer International Publishing	monograph	2020	2020	97	1	Costa	698		P
Water Resources in Algeria - Part II	978-3-030-57886-2	978-3-030-57887-9							http://link.springer.com/10.1007/978-3-030-57887-9	Negm	10.1007/978-3-030-57887-9		fulltext		Springer International Publishing	monograph	2020	2020	98	1	Costa	698		P
Bioavailability of Organic Chemicals in Soil and Sediment	978-3-030-57918-0	978-3-030-57919-7							http://link.springer.com/10.1007/978-3-030-57919-7	Ortega-Calvo	10.1007/978-3-030-57919-7		fulltext		Springer International Publishing	monograph	2020	2020	100	1	Costa	698		P
Water Resources Management in Central Asia	978-3-030-57985-2	978-3-030-57986-9							http://link.springer.com/10.1007/978-3-030-57986-9	Zonn	10.1007/978-3-030-57986-9		fulltext		Springer International Publishing	monograph	2020	2020	105	1	Costa	698		P
Chemical Epigenetics	978-3-030-42981-2	978-3-030-42982-9							http://link.springer.com/10.1007/978-3-030-42982-9	Mai	10.1007/978-3-030-42982-9		fulltext		Springer International Publishing	monograph	2020	2020	33	1	Weyandt	7355		P
Drug Delivery Challenges and Novel Therapeutic Approaches for Retinal Diseases	978-3-030-56618-0	978-3-030-56619-7							http://link.springer.com/10.1007/978-3-030-56619-7	Cioffi	10.1007/978-3-030-56619-7		fulltext		Springer International Publishing	monograph	2020	2020	35	1	Costa	7355		P
Fluorescent Imaging in Medicinal Chemistry	978-3-030-46706-7	978-3-030-46707-4							http://link.springer.com/10.1007/978-3-030-46707-4	Cheng	10.1007/978-3-030-46707-4		fulltext		Springer International Publishing	monograph	2020	2020	34	1	Costa	7355		P
Encyclopedia of Polymeric Nanomaterials		978-3-642-36199-9							http://link.springer.com/10.1007/978-3-642-36199-9	Kobayashi	10.1007/978-3-642-36199-9		fulltext		Springer Berlin Heidelberg	monograph	2020	2020		0	Hawkins			P
Handbook of Food Chemistry		978-3-642-41609-5							http://link.springer.com/10.1007/978-3-642-41609-5	Cheung	10.1007/978-3-642-41609-5		fulltext		Springer Berlin Heidelberg	monograph	2020	2020		0	Tang			P
Encyclopedia of Membranes		978-3-642-40872-4							http://link.springer.com/10.1007/978-3-642-40872-4	Drioli	10.1007/978-3-642-40872-4		fulltext		Springer Berlin Heidelberg	monograph	2020	2020		0	Pauly			P
Handbook of Relativistic Quantum Chemistry		978-3-642-41611-8							http://link.springer.com/10.1007/978-3-642-41611-8	Liu	10.1007/978-3-642-41611-8		fulltext		Springer Berlin Heidelberg	monograph	2020	2020		0	Tang			P
Functional Biopolymers		978-3-319-92066-5							http://link.springer.com/10.1007/978-3-319-92066-5	Jafar Mazumder	10.1007/978-3-319-92066-5		fulltext		Springer International Publishing	monograph	2020	2020		0	Costa	15068		P
Functional Polymers		978-3-319-92067-2							http://link.springer.com/10.1007/978-3-319-92067-2	Jafar Mazumder	10.1007/978-3-319-92067-2		fulltext		Springer International Publishing	monograph	2020	2020		0	Costa	15068		P
Liquid Crystalline Polymers	978-3-030-43349-9	978-3-030-43350-5							http://link.springer.com/10.1007/978-3-030-43350-5	Zhu	10.1007/978-3-030-43350-5		fulltext		Springer International Publishing	monograph	2020	2020		1	Hollingworth	15068		P
Electromechanically Active Polymers		978-3-319-31767-0							http://link.springer.com/10.1007/978-3-319-31767-0	Carpi	10.1007/978-3-319-31767-0		fulltext		Springer International Publishing	monograph	2020	2020		0	Bellantone	15068		P
Polymers and Polymeric Composites: A Reference Series		978-3-642-37179-0							http://link.springer.com/10.1007/978-3-642-37179-0	Kar	10.1007/978-3-642-37179-0		fulltext		Springer Berlin Heidelberg	monograph	2020	2020		0	Hawkins	15068		P
Cellulose-Based Superabsorbent Hydrogels		978-3-319-76573-0							http://link.springer.com/10.1007/978-3-319-76573-0	Mondal	10.1007/978-3-319-76573-0		fulltext		Springer International Publishing	monograph	2020	2020		0	Alkan	15068		P
Liposome-Based Drug Delivery Systems		978-3-662-49231-4							http://link.springer.com/10.1007/978-3-662-49231-4	Lu	10.1007/978-3-662-49231-4		fulltext		Springer Berlin Heidelberg	monograph	2020	2020		0	Zhang	13484		P
Handbook of Photovoltaic Silicon		978-3-662-52735-1							http://link.springer.com/10.1007/978-3-662-52735-1	Yang	10.1007/978-3-662-52735-1		fulltext		Springer Berlin Heidelberg	monograph	2020	2020		0	Huang			P
Chemistry of Renewables	978-3-662-61429-7	978-3-662-61430-3							http://link.springer.com/10.1007/978-3-662-61430-3	Behr	10.1007/978-3-662-61430-3		fulltext		Springer Berlin Heidelberg	monograph	2020	2020		1	Hollingworth			P
Biomass Burning in Sub-Saharan Africa	978-94-007-0807-5	978-94-007-0808-2							http://link.springer.com/10.1007/978-94-007-0808-2	Mammino	10.1007/978-94-007-0808-2		fulltext		Springer Netherlands	monograph	2020	2020		1	Costa			P
Encyclopedia of Nanotechnology		978-94-007-6178-0							http://link.springer.com/10.1007/978-94-007-6178-0	Bhushan	10.1007/978-94-007-6178-0		fulltext		Springer Netherlands	monograph	2020	2020		0				P
Handbook of Computational Chemistry		978-94-007-6169-8							http://link.springer.com/10.1007/978-94-007-6169-8	Leszczynski	10.1007/978-94-007-6169-8		fulltext		Springer Netherlands	monograph	2020	2020		0	Ojo			P
Handbook of Biorefinery Research and Technology		978-94-007-6724-9							http://link.springer.com/10.1007/978-94-007-6724-9	Park	10.1007/978-94-007-6724-9		fulltext		Springer Netherlands	monograph	2020	2020		0	Chae			P
Ultra-High Temperature Materials III	978-94-024-2037-1	978-94-024-2039-5							http://link.springer.com/10.1007/978-94-024-2039-5	Shabalin	10.1007/978-94-024-2039-5		fulltext		Springer Netherlands	monograph	2020	2020		1	Niko			P
Chemical Physics of Molecular Condensed Matter	978-981-15-9022-1	978-981-15-9023-8							http://link.springer.com/10.1007/978-981-15-9023-8	Saito	10.1007/978-981-15-9023-8		fulltext		Springer Singapore	monograph	2020	2020	104	1	Koizumi	632		P
Black Phosphorus	978-3-030-29554-7	978-3-030-29555-4							http://link.springer.com/10.1007/978-3-030-29555-4	Inamuddin	10.1007/978-3-030-29555-4		fulltext		Springer International Publishing	monograph	2020	2020		1	Castro	4288		P
Self-standing Substrates	978-3-030-29521-9	978-3-030-29522-6							http://link.springer.com/10.1007/978-3-030-29522-6	Inamuddin	10.1007/978-3-030-29522-6		fulltext		Springer International Publishing	monograph	2020	2020		1	Castro	4288		P
Integrative Nanomedicine for New Therapies	978-3-030-36259-1	978-3-030-36260-7							http://link.springer.com/10.1007/978-3-030-36260-7	Krishnan	10.1007/978-3-030-36260-7		fulltext		Springer International Publishing	monograph	2020	2020		1	Castro	4288		P
Mechanics of Metamaterials with Negative Parameters	978-981-15-6445-1	978-981-15-6446-8							http://link.springer.com/10.1007/978-981-15-6446-8	Lim	10.1007/978-981-15-6446-8		fulltext		Springer Singapore	monograph	2020	2020		1	Premnath	4288		P
Nanostructured Materials	978-3-030-26144-3	978-3-030-26145-0							http://link.springer.com/10.1007/978-3-030-26145-0	Thangadurai	10.1007/978-3-030-26145-0		fulltext		Springer International Publishing	monograph	2020	2020		1	Castro	4288		P
Representation Surfaces for Physical Properties of Materials	978-3-030-40869-5	978-3-030-40870-1							http://link.springer.com/10.1007/978-3-030-40870-1	Laso	10.1007/978-3-030-40870-1		fulltext		Springer International Publishing	monograph	2020	2020		1	Riva	4288		P
Nanostructured Metal-Oxide Electrode Materials for Water Purification	978-3-030-43345-1	978-3-030-43346-8							http://link.springer.com/10.1007/978-3-030-43346-8	Ama	10.1007/978-3-030-43346-8		fulltext		Springer International Publishing	monograph	2020	2020		1	Evenson	4288		P
Engineering of Thermoplastic Elastomer with Graphene and Other Anisotropic Nanofillers	978-981-15-9084-9	978-981-15-9085-6							http://link.springer.com/10.1007/978-981-15-9085-6	Bandyopadhyay	10.1007/978-981-15-9085-6		fulltext		Springer Singapore	monograph	2020	2020		1	Bose	4288		P
MXenes and MXenes-based Composites	978-3-030-59372-8	978-3-030-59373-5							http://link.springer.com/10.1007/978-3-030-59373-5	Xiao	10.1007/978-3-030-59373-5		fulltext		Springer International Publishing	monograph	2020	2020		1	Castro	4288		P
Surface Engineering of Modern Materials	978-3-030-43231-7	978-3-030-43232-4							http://link.springer.com/10.1007/978-3-030-43232-4	Gupta	10.1007/978-3-030-43232-4		fulltext		Springer International Publishing	monograph	2020	2020		1	Castro	4288		P
Studies on Graphene-Based Nanomaterials for Biomedical Applications	978-981-15-2232-1	978-981-15-2233-8							http://link.springer.com/10.1007/978-981-15-2233-8	Yoo	10.1007/978-981-15-2233-8		fulltext		Springer Singapore	monograph	2020	2020		1	Chae	8790		P
Uncertainty-aware Integration of Control with Process Operations and Multi-parametric Programming Under Global Uncertainty	978-3-030-38136-3	978-3-030-38137-0							http://link.springer.com/10.1007/978-3-030-38137-0	Charitopoulos	10.1007/978-3-030-38137-0		fulltext		Springer International Publishing	monograph	2020	2020		1	Weyandt	8790		P
Study on the Cellular Regulation and Function of Lysine Malonylation, Glutarylation and Crotonylation	978-981-15-2508-7	978-981-15-2509-4							http://link.springer.com/10.1007/978-981-15-2509-4	Bao	10.1007/978-981-15-2509-4		fulltext		Springer Singapore	monograph	2020	2020		1	Guo	8790		P
Electronic Communication in Heterometallated Porphyrin Oligomers	978-3-030-39100-3	978-3-030-39101-0							http://link.springer.com/10.1007/978-3-030-39101-0	Cremers	10.1007/978-3-030-39101-0		fulltext		Springer International Publishing	monograph	2020	2020		1	Weyandt	8790		P
Novel Embedded Metal-mesh Transparent Electrodes	978-981-15-2917-7	978-981-15-2918-4							http://link.springer.com/10.1007/978-981-15-2918-4	Khan	10.1007/978-981-15-2918-4		fulltext		Springer Singapore	monograph	2020	2020		1	Shen	8790		P
Synthesis of Optically Active Oxymethylenehelicene Oligomers and Self-assembly Phenomena at a Liquid–Solid Interface	978-981-15-3191-0	978-981-15-3192-7							http://link.springer.com/10.1007/978-981-15-3192-7	Sawato	10.1007/978-981-15-3192-7		fulltext		Springer Singapore	monograph	2020	2020		1	Koizumi	8790		P
Structure–Activity Relationships for Development of Neurokinin-3 Receptor Antagonists	978-981-15-2964-1	978-981-15-2965-8							http://link.springer.com/10.1007/978-981-15-2965-8	Yamamoto	10.1007/978-981-15-2965-8		fulltext		Springer Singapore	monograph	2020	2020		1	Koizumi	8790		P
Artificial Assemblies with Cooperative DNA Recognition	978-981-15-4422-4	978-981-15-4423-1							http://link.springer.com/10.1007/978-981-15-4423-1	YU	10.1007/978-981-15-4423-1		fulltext		Springer Singapore	monograph	2020	2020		1	Koizumi	8790		P
Novel Luminescent Crystalline Materials of Gold(I) Complexes with Stimuli-Responsive Properties	978-981-15-4062-2	978-981-15-4063-9							http://link.springer.com/10.1007/978-981-15-4063-9	Jin	10.1007/978-981-15-4063-9		fulltext		Springer Singapore	monograph	2020	2020		1	Koizumi	8790		P
Investigating a Phase Conjugate Mirror for Magnon-Based Computing	978-3-030-49744-6	978-3-030-49745-3							http://link.springer.com/10.1007/978-3-030-49745-3	Inglis	10.1007/978-3-030-49745-3		fulltext		Springer International Publishing	monograph	2020	2020		1	Lahee	8790		P
Novel Devices Based on Relaxor Ferroelectric PMN-PT Single Crystals	978-981-15-4311-1	978-981-15-4312-8							http://link.springer.com/10.1007/978-981-15-4312-8	Fang	10.1007/978-981-15-4312-8		fulltext		Springer Singapore	monograph	2020	2020		1	Guo	8790		P
Fluid Flow and Heat Transfer in Porous Media Manufactured by a Space Holder Method	978-3-030-53601-5	978-3-030-53602-2							http://link.springer.com/10.1007/978-3-030-53602-2	Lu	10.1007/978-3-030-53602-2		fulltext		Springer International Publishing	monograph	2020	2020		1	Doyle	8790		P
Time-Resolved Photoionisation Studies of Polyatomic Molecules	978-3-030-53628-2	978-3-030-53629-9							http://link.springer.com/10.1007/978-3-030-53629-9	Bjørnholst	10.1007/978-3-030-53629-9		fulltext		Springer International Publishing	monograph	2020	2020		1	Costa	8790		P
Emergent Transport Properties of Magnetic Topological Insulator Heterostructures	978-981-15-7182-4	978-981-15-7183-1							http://link.springer.com/10.1007/978-981-15-7183-1	Yasuda	10.1007/978-981-15-7183-1		fulltext		Springer Singapore	monograph	2020	2020		1	Tokuno	8790		P
Manipulating Anisotropic Transport and Superconductivity by Focused Ion Beam Microstructuring	978-3-030-51361-0	978-3-030-51362-7							http://link.springer.com/10.1007/978-3-030-51362-7	Bachmann	10.1007/978-3-030-51362-7		fulltext		Springer International Publishing	monograph	2020	2020		1	Lahee	8790		P
Palladium and Nickel Catalyzed Transformations Forming Functionalized Heterocycles	978-3-030-54076-0	978-3-030-54077-7							http://link.springer.com/10.1007/978-3-030-54077-7	Yoon	10.1007/978-3-030-54077-7		fulltext		Springer International Publishing	monograph	2020	2020		1	Costa	8790		P
Key Structural Factors of Group 5 Metal Oxide Clusters for Base Catalytic Application	978-981-15-7347-7	978-981-15-7348-4							http://link.springer.com/10.1007/978-981-15-7348-4	Hayashi	10.1007/978-981-15-7348-4		fulltext		Springer Singapore	monograph	2020	2020		1	Koizumi	8790		P
Studies on Green Synthetic Reactions Based on Formic Acid from Biomass	978-981-15-7622-5	978-981-15-7623-2							http://link.springer.com/10.1007/978-981-15-7623-2	Fu	10.1007/978-981-15-7623-2		fulltext		Springer Singapore	monograph	2020	2020		1	Guo	8790		P
Atomic-Scale Insights into Emergent Photovoltaic Absorbers	978-3-030-55707-2	978-3-030-55708-9							http://link.springer.com/10.1007/978-3-030-55708-9	Ganose	10.1007/978-3-030-55708-9		fulltext		Springer International Publishing	monograph	2020	2020		1	Costa	8790		P
Development of Selective DNA-Interacting Ligands	978-981-15-7715-4	978-981-15-7716-1							http://link.springer.com/10.1007/978-981-15-7716-1	Asamitsu	10.1007/978-981-15-7716-1		fulltext		Springer Singapore	monograph	2020	2020		1	Koizumi	8790		P
Condensed and Melting Droplet Behavior on Superhydrophobic Surfaces	978-981-15-8492-3	978-981-15-8493-0							http://link.springer.com/10.1007/978-981-15-8493-0	Chu	10.1007/978-981-15-8493-0		fulltext		Springer Singapore	monograph	2020	2020		1	Huang	8790		P
Total Synthesis of Indole Alkaloids	978-981-15-8651-4	978-981-15-8652-1							http://link.springer.com/10.1007/978-981-15-8652-1	Matsuoka	10.1007/978-981-15-8652-1		fulltext		Springer Singapore	monograph	2020	2020		1	Koizumi	8790		P
Optoelectronic Properties of Graphene-Based van der Waals Hybrids	978-3-030-59626-2	978-3-030-59627-9							http://link.springer.com/10.1007/978-3-030-59627-9	Roy	10.1007/978-3-030-59627-9		fulltext		Springer International Publishing	monograph	2020	2020		1	Lahee	8790		P
Magnetic Dynamics in Antiferromagnetically-Coupled Ferrimagnets	978-981-15-9175-4	978-981-15-9176-1							http://link.springer.com/10.1007/978-981-15-9176-1	Okuno	10.1007/978-981-15-9176-1		fulltext		Springer Singapore	monograph	2020	2020		1	Koizumi	8790		P
Bismuth-Ferrite-Based Electrochemical Supercapacitors	978-3-030-16717-2	978-3-030-16718-9							http://link.springer.com/10.1007/978-3-030-16718-9	Jadhav	10.1007/978-3-030-16718-9		fulltext		Springer International Publishing	monograph	2020	2020		1	Evenson	10111		P
One-dimensional Transition Metal Oxides and Their Analogues for Batteries	978-981-15-5065-2	978-981-15-5066-9							http://link.springer.com/10.1007/978-981-15-5066-9	Pang	10.1007/978-981-15-5066-9		fulltext		Springer Singapore	monograph	2020	2020		1	Guo	10111		P
Microbially Induced Corrosion and its Mitigation	978-981-15-8017-8	978-981-15-8019-2							http://link.springer.com/10.1007/978-981-15-8019-2	Singh	10.1007/978-981-15-8019-2		fulltext		Springer Singapore	monograph	2020	2020		1	D'Silva	10111		P
Coronary Artery Disease and The Evolution of Angioplasty Devices	978-3-030-42442-8	978-3-030-42443-5							http://link.springer.com/10.1007/978-3-030-42443-5	King	10.1007/978-3-030-42443-5		fulltext		Springer International Publishing	monograph	2020	2020		1	Packer	10111		P
Engineered Antimicrobial Surfaces	978-981-15-4629-7	978-981-15-4630-3							http://link.springer.com/10.1007/978-981-15-4630-3	Snigdha	10.1007/978-981-15-4630-3		fulltext		Springer Singapore	monograph	2020	2020		1	Meherishi	16122		P
Handbook of Macrocyclic Supramolecular Assembly		978-981-13-1744-6							http://link.springer.com/10.1007/978-981-13-1744-6	Liu	10.1007/978-981-13-1744-6		fulltext		Springer Singapore	monograph	2020	2020		0	Dong			P
Advanced Materials for Defense	978-3-030-34122-0	978-3-030-34123-7							http://link.springer.com/10.1007/978-3-030-34123-7	Fangueiro	10.1007/978-3-030-34123-7		fulltext		Springer International Publishing	monograph	2020	2020	4	1	Castro	16157		P
Advances in Lightweight Materials and Structures	978-981-15-7826-7	978-981-15-7827-4							http://link.springer.com/10.1007/978-981-15-7827-4	Praveen Kumar	10.1007/978-981-15-7827-4		fulltext		Springer Singapore	monograph	2020	2020	8	1	Vyas	16157		P
Advanced Materials	978-3-030-45119-6	978-3-030-45120-2							http://link.springer.com/10.1007/978-3-030-45120-2	Parinov	10.1007/978-3-030-45120-2		fulltext		Springer International Publishing	monograph	2020	2020	6	1	Evenson	16157		P
Polymer Composites and Nanocomposites for X-Rays Shielding	978-981-13-9809-4	978-981-13-9810-0							http://link.springer.com/10.1007/978-981-13-9810-0	Low	10.1007/978-981-13-9810-0		fulltext		Springer Singapore	monograph	2020	2020		1	Premnath	16333		P
Synthesis of Functional Nanomaterials for Electrochemical Energy Storage	978-981-13-7371-8	978-981-13-7372-5							http://link.springer.com/10.1007/978-981-13-7372-5	Pang	10.1007/978-981-13-7372-5		fulltext		Springer Singapore	monograph	2020	2020		1	Guo			P
Theoretical Chemistry for Advanced Nanomaterials	978-981-15-0005-3	978-981-15-0006-0							http://link.springer.com/10.1007/978-981-15-0006-0	Onishi	10.1007/978-981-15-0006-0		fulltext		Springer Singapore	monograph	2020	2020		1	Koizumi			P
AFM-Based Observation and Robotic Nano-manipulation	978-981-15-0507-2	978-981-15-0508-9							http://link.springer.com/10.1007/978-981-15-0508-9	Yuan	10.1007/978-981-15-0508-9		fulltext		Springer Singapore	monograph	2020	2020		1	Shen			P
Ethnic Fermented Foods and Beverages of India: Science History and Culture	978-981-15-1485-2	978-981-15-1486-9							http://link.springer.com/10.1007/978-981-15-1486-9	Tamang	10.1007/978-981-15-1486-9		fulltext		Springer Singapore	monograph	2020	2020		1	Kahali			P
Novel Colloidal Forming of Ceramics	978-981-15-1871-3	978-981-15-1872-0							http://link.springer.com/10.1007/978-981-15-1872-0	Yang	10.1007/978-981-15-1872-0		fulltext		Springer Singapore	monograph	2020	2020		2	Guo			P
Corrosion Control Technologies for Aluminum Alloy Vessel	978-981-15-1931-4	978-981-15-1932-1							http://link.springer.com/10.1007/978-981-15-1932-1	Fang	10.1007/978-981-15-1932-1		fulltext		Springer Singapore	monograph	2020	2020		1	Huang			P
Thermophysical Properties and Measuring Technique of Ge-Sb-Te Alloys for Phase Change Memory	978-981-15-2216-1	978-981-15-2217-8							http://link.springer.com/10.1007/978-981-15-2217-8	Lan	10.1007/978-981-15-2217-8		fulltext		Springer Singapore	monograph	2020	2020		1	Huang			P
Mathematical Physical Chemistry	978-981-15-2224-6	978-981-15-2225-3							http://link.springer.com/10.1007/978-981-15-2225-3	Hotta	10.1007/978-981-15-2225-3		fulltext		Springer Singapore	monograph	2020	2020		2	Koizumi			P
Circularly Polarized Luminescence of Isolated Small Organic Molecules	978-981-15-2308-3	978-981-15-2309-0							http://link.springer.com/10.1007/978-981-15-2309-0	Mori	10.1007/978-981-15-2309-0		fulltext		Springer Singapore	monograph	2020	2020		1	Koizumi			P
Green Production of Carbon Nanomaterials in Molten Salts and Applications	978-981-15-2372-4	978-981-15-2373-1							http://link.springer.com/10.1007/978-981-15-2373-1	Kamali	10.1007/978-981-15-2373-1		fulltext		Springer Singapore	monograph	2020	2020		1	Huang			P
Basic Concepts of Iron and Steel Making	978-981-15-2436-3	978-981-15-2437-0							http://link.springer.com/10.1007/978-981-15-2437-0	Dutta	10.1007/978-981-15-2437-0		fulltext		Springer Singapore	monograph	2020	2020		1	Meherishi			P
Emerging Technologies in Food Science	978-981-15-2555-1	978-981-15-2556-8							http://link.springer.com/10.1007/978-981-15-2556-8	Thakur	10.1007/978-981-15-2556-8		fulltext		Springer Singapore	monograph	2020	2020		1	Kahali			P
The Beauty and Fascination of Science	978-981-15-2591-9	978-981-15-2592-6							http://link.springer.com/10.1007/978-981-15-2592-6	Buchachenko	10.1007/978-981-15-2592-6		fulltext		Springer Singapore	monograph	2020	2020		1	Koizumi			P
Dairy Processing: Advanced Research to Applications	978-981-15-2607-7	978-981-15-2608-4							http://link.springer.com/10.1007/978-981-15-2608-4	Minj	10.1007/978-981-15-2608-4		fulltext		Springer Singapore	monograph	2020	2020		1	Kahali			P
Handbook of Macrocyclic Supramolecular Assembly	978-981-15-2685-5	978-981-15-2686-2							http://link.springer.com/10.1007/978-981-15-2686-2	Liu	10.1007/978-981-15-2686-2		fulltext		Springer Singapore	monograph	2020	2020		1	Guo			P
