publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_id	preceding_publication_title_id	access_type	supplement	title_change_history
Analytical Techniques		978-0-444-82033-4							http://www.sciencedirect.com/science/bookseries/18730140/3		9780444820334		Full text		Elsevier	Monograph	1994	2012-11-05	3		P.W. Hochachka, T.P. Mommsen	18730140		P		
Ancient Marine Reptiles		978-0-12-155210-7							http://www.sciencedirect.com/science/book/9780121552107		9780121552107		Full text		Academic Press	Monograph	1997	2007-05-09			Jack M. Callaway and Elizabeth L. Nicholls			P		
Animal Cognition in Nature		978-0-12-077030-4							http://www.sciencedirect.com/science/book/9780120770304		9780120770304		Full text		Academic Press	Monograph	1998	2007-05-09			Russell P. Balda, Irene M. Pepperberg and Alan C. Kamil			P		
Antarctica: Soils, Weathering Processes and Environment		978-0-444-42784-7							http://www.sciencedirect.com/science/bookseries/01662481/16		9780444427847		Full text		Elsevier	Monograph	1987	2008-04-28	16		I.B. Campbell, G.G.C. Claridge	01662481		P		
Application of Mutation Breeding Methods in the Improvement of Vegetatively Propagated Crops: An Interpretive Literature Review		978-0-444-41618-6							http://www.sciencedirect.com/science/bookseries/0378519X/2		9780444416186		Full text		Elsevier	Monograph	1978	2012-11-05	2		C. BROERTJES, A.M. VAN HARTEN	0378519X		P		
Applications of Physiological Ecology to Forest Management		978-0-12-435955-0							http://www.sciencedirect.com/science/book/9780124359550	J.J. Landsberg and S.T. Gower	9780124359550		Full text		Academic Press	Monograph	1997	2007-09-02						P		
Applied Mutation Breeding for Vegetatively Propagated Crops		978-0-444-42786-1							http://www.sciencedirect.com/science/bookseries/0378519X/12		9780444427861		Full text		Elsevier	Monograph	1988	2013-10-02	12		C. Broerfles, A.M. van Harten	0378519X		P		
Aquatic Ecosystems		978-0-12-256371-3							http://www.sciencedirect.com/science/book/9780122563713		9780122563713		Full text		Academic Press	Monograph	2003	2007-09-02			Stuart E.G. Findlay and Robert L. Sinsabaugh			P		
Avian Molecular Evolution and Systematics		978-0-12-498315-1							http://www.sciencedirect.com/science/book/9780124983151		9780124983151		Full text		Academic Press	Monograph	1997	2007-09-02			David P. Mindell			P		
Bauxites		978-0-444-40888-4							http://www.sciencedirect.com/science/bookseries/01662481/1		9780444408884		Full text		Elsevier	Monograph	1972	2008-05-05	1		Ida Valeton	01662481		P		
Beef Cattle Feeding and Nutrition (Second Edition)		978-0-12-552052-2							http://www.sciencedirect.com/science/book/9780125520522		9780125520522		Full text		Academic Press	Monograph	1995	2007-09-28			Tilden Wayne Perry and Michael J. Cecava			P		
Behavioral Ecology of Tropical Birds		978-0-12-675555-8							http://www.sciencedirect.com/science/book/9780126755558	Bridget J.M. Stutchbury and Eugene S. Morton	9780126755558		Full text		Academic Press	Monograph	2001	2007-05-10						P		
Benguela		978-0-444-52759-2							http://www.sciencedirect.com/science/bookseries/15700461/14		9780444527592		Full text		Elsevier	Monograph	2006	2007-09-02	14		Vere Shannon, Gotthilf Hempel, Paola Malanotte-Rizzoli, Coleen Moloney, John Woods	15700461		P		
Bioavailability of Nutrients for Animals		978-0-12-056250-3							http://www.sciencedirect.com/science/book/9780120562503		9780120562503		Full text		Academic Press	Monograph	1995	2007-09-02			Clarence B. Ammerman, David H. Baker and Austin J. Lewis			P		
Biochemistry and Molecular Biology of Fishes		1873-0140	1991	1					http://www.sciencedirect.com/science/bookseries/18730140		18730140		Full text		Elsevier	Serial								P		
Biodiversity of Fungi		978-0-12-509551-8							http://www.sciencedirect.com/science/book/9780125095518	Gregory M. Mueller, Gerald F. Bills and Mercedes S. Foster	9780125095518		Full text		Academic Press	Monograph	2004	2007-05-09						P		
Biogeochemistry of Trace Elements in the Rhizosphere		978-0-444-51997-9							http://www.sciencedirect.com/science/book/9780444519979		9780444519979		Full text		Elsevier	Monograph	2005	2007-05-09			P.M. Huang and G.R. Gobran			P		
Biology and Culture of Channel Catfish		978-0-444-50576-7							http://www.sciencedirect.com/science/bookseries/01679309/34		9780444505767		Full text		Elsevier	Monograph	2004	2007-09-02	34		Craig S. Tucker, John A. Hargreaves	01679309		P		
Biology of Brassica Coenospecies		978-0-444-50278-0							http://www.sciencedirect.com/science/bookseries/01687972/4		9780444502780		Full text		Elsevier	Monograph	1999	2007-09-02	4		César Gómez-Campo	01687972		P		
Biology of Rice		978-0-444-99615-2							http://www.sciencedirect.com/science/bookseries/0378519X/7		9780444996152		Full text		Elsevier	Monograph	1984	2012-11-05	7		Shigesaburo Tsunoda, Norindo Takahashi	0378519X		P		
Biology of the Hard Clam		978-0-444-81908-6							http://www.sciencedirect.com/science/bookseries/01679309/31		9780444819086		Full text		Elsevier	Monograph	2001	2007-09-02	31		John N. Kraeuter, Michael Castagna	01679309		P		
Biology of the Lobster		978-0-12-247570-2							http://www.sciencedirect.com/science/book/9780122475702		9780122475702		Full text		Academic Press	Monograph	1995	2007-05-09			Jan Robert Factor			P		
Biotechnology and Safety Assessment (Third Edition)		978-0-12-688721-1							http://www.sciencedirect.com/science/book/9780126887211		9780126887211		Full text		Academic Press	Monograph	2003	2007-05-09			John A. Thomas and Roy L. Fuchs			P		
Bones, Stones and Molecules		978-0-12-156933-4							http://www.sciencedirect.com/science/book/9780121569334	David W. Cameron and Colin P. Groves	9780121569334		Full text		Academic Press	Monograph	2004	2007-05-09						P		
C4 Plant Biology		978-0-12-614440-6							http://www.sciencedirect.com/science/book/9780126144406		9780126144406		Full text		Academic Press	Monograph	1999	2007-09-02			Rowan F. Sage and Russell K. Monson			P		
Carbohydrate Reserves in Plants		978-0-444-50269-8							http://www.sciencedirect.com/science/bookseries/0378519X/26		9780444502698		Full text		Elsevier	Monograph	2000	2007-09-02	26		Anil Kumar Gupta, Narinder Kaur	0378519X		P		
Carbon Dioxide and Environmental Stress		978-0-12-460370-7							http://www.sciencedirect.com/science/book/9780124603707		9780124603707		Full text		Academic Press	Monograph	1999	2007-09-02			Yiqi Luo and Harold A. Mooney			P		
Carbon Dioxide and Terrestrial Ecosystems		978-0-12-505295-5							http://www.sciencedirect.com/science/book/9780125052955		9780125052955		Full text		Academic Press	Monograph	1996	2007-09-02			George W. Koch and Harold A. Mooney			P		
Carbon Dioxide, Populations, and Communities		978-0-12-420870-4							http://www.sciencedirect.com/science/book/9780124208704		9780124208704		Full text		Academic Press	Monograph	1996	2007-09-02			Christian Körner and Fakhri A. Bazzaz			P		
Caribbean Amphibians and Reptiles		978-0-12-197955-3							http://www.sciencedirect.com/science/book/9780121979553		9780121979553		Full text		Academic Press	Monograph	1999	2007-09-28			Brian I. Crother			P		
Chaos in Ecology		978-0-12-198876-0							http://www.sciencedirect.com/science/book/9780121988760	J.M. Cushing, R.F. Costantino, Brian Dennis, Robert A. Desharnais and Shandelle M. Henson	9780121988760		Full text		Academic Press	Monograph	2005	2007-09-02						P		
Characterization of Food		978-0-444-81499-9							http://www.sciencedirect.com/science/book/9780444814999		9780444814999		Full text		Elsevier Science B.V.	Monograph	1995	2007-09-28			Anilkumar G. Gaonkar			P		
Cheese Chemistry, Physics and Microbiology		978-0-12-263652-3							http://www.sciencedirect.com/science/bookseries/1874558X/1		9780122636523		Full text		Academic Press	Monograph	2004	2007-09-02	1		Patrick F. Fox, Paul L.H. McSweeney, Timothy M. Cogan, Timothy P. Guinee	1874558X		P		
Cheese: Chemistry, Physics and Microbiology		1874-558X	2004	1					http://www.sciencedirect.com/science/bookseries/1874558X		1874558X		Full text		Academic Press	Serial								P		
Chemistry and Analysis of Hop and Beer Bitter Acids		978-0-444-88165-6							http://www.sciencedirect.com/science/bookseries/01674501/27		9780444881656		Full text		Elsevier	Monograph	1991	2013-08-30	27		M. VERZELE, D. DE KEUKELEIRE	01674501		P		
Chemistry of Soil Organic Matter		978-0-444-98936-9							http://www.sciencedirect.com/science/bookseries/01662481/17		9780444989369		Full text		Elsevier	Monograph	1987	2008-05-05	17		Kyoichi Kumada	01662481		P		
Chromosome Engineering in Plants		978-0-444-88260-8							http://www.sciencedirect.com/science/bookseries/01687972/2		9780444882608		Full text		Elsevier	Monograph	1991	2012-11-05	2		T. Tsuchiya, P.K. Gupta	01687972		P		
Chromosome Engineering in Plants: Genetics, Breeding, Evolution, Part A		978-0-444-88259-2							http://www.sciencedirect.com/science/bookseries/01687972/2/part/PA		9780444882592		Full text		Elsevier	Monograph	1991	2012-11-07	2		P.K. Gupta, T. Tsuchiya	01687972		P	Part A	
Computer Applications in Food Technology		978-0-12-646382-8							http://www.sciencedirect.com/science/book/9780126463828	R. Paul Singh	9780126463828		Full text		Academic Press	Monograph	1996	2007-09-02						P		
Conservation Biological Control		978-0-12-078147-8							http://www.sciencedirect.com/science/book/9780120781478		9780120781478		Full text		Academic Press	Monograph	1998	2007-05-10			Pedro Barbosa			P		
Conservation of Fish and Shellfish Resources		978-0-12-690685-1							http://www.sciencedirect.com/science/book/9780126906851	J.E. Thorpe, G.A.E. Gall, J.E. Lannan and C.E. Nash	9780126906851		Full text		Academic Press	Monograph	1995	2007-09-02						P		
Coral Reef Fishes		978-0-12-615185-5							http://www.sciencedirect.com/science/book/9780126151855		9780126151855		Full text		Academic Press	Monograph	2002	2007-05-09			Peter F. Sale			P		
Cultivating Edible Fungi		978-0-444-42747-2							http://www.sciencedirect.com/science/bookseries/0378519X/10		9780444427472		Full text		Elsevier	Monograph	1987	2013-10-02	10		P.J. Wuest, D.J. Royse, R.B. Beelman	0378519X		P		
Design and Operating Guide for Aquaculture Seawater Systems		978-0-444-50577-4							http://www.sciencedirect.com/science/bookseries/01679309/33		9780444505774		Full text		Elsevier	Monograph	2002	2007-09-02	33		John E. Huguenin, John Colt	01679309		P		
Development of Pedotransfer Functions in Soil Hydrology		978-0-444-51705-0							http://www.sciencedirect.com/science/bookseries/01662481/30		9780444517050		Full text		Elsevier	Monograph	2004	2007-09-02	30		Y. Pachepsky, and W.J. Rawls	01662481		P		
Developments in Agricultural Economics		0926-5589	1986	3					http://www.sciencedirect.com/science/bookseries/09265589		09265589		Full text		Elsevier	Serial								P		
Developments in Aquaculture and Fisheries Science		0167-9309	1996	29		2006	36		http://www.sciencedirect.com/science/bookseries/01679309		01679309		Full text		Elsevier	Serial								P		
Developments in Crop Science		0378-519X	1978	2					http://www.sciencedirect.com/science/bookseries/0378519X		0378519X		Full text		Elsevier	Serial								P		
Developments in Food Science		0167-4501	1989	20					http://www.sciencedirect.com/science/bookseries/01674501		01674501		Full text		Elsevier	Serial								P		
Developments in Marine Biology		0163-6995	1995	4					http://www.sciencedirect.com/science/bookseries/01636995		01636995		Full text		Elsevier Science	Serial								P		
Developments in Plant Genetics and Breeding		0168-7972	1983	1 Part A					http://www.sciencedirect.com/science/bookseries/01687972		01687972		Full text		Elsevier	Serial								P		
Developments in Soil Science		0166-2481	1972	1		2006	31		http://www.sciencedirect.com/science/bookseries/01662481		01662481		Full text		Elsevier	Serial								P		
Digital Soil Mapping		978-0-444-52958-9							http://www.sciencedirect.com/science/bookseries/01662481/31		9780444529589		Full text		Elsevier	Monograph	2006	2007-10-02	31		P. Lagacherie, A.B. McBratney, M. Voltz	01662481		P		
Diversity in Barley		978-0-444-50585-9							http://www.sciencedirect.com/science/bookseries/01687972/7		9780444505859		Full text		Elsevier	Monograph	2003	2007-09-02	7		Roland von Bothmer, Theo van Hintum, Helmut Knüpffer, Kazuhiro Sato	01687972		P		
Drosophila		978-0-12-473052-6							http://www.sciencedirect.com/science/book/9780124730526	Therese A. Markow and Patrick M. O'Grady	9780124730526		Full text		Academic Press	Monograph	2006	2007-05-09						P		
Dynamic Food Webs		978-0-12-088458-2							http://www.sciencedirect.com/science/book/9780120884582	Peter de Ruiter, Volkmar Wolters, John C. Moore and Kimberly Melville-Smith	9780120884582		Full text		Academic Press	Monograph	2006	2007-09-02						P		
Ecological Paradigms Lost		978-0-12-088459-9							http://www.sciencedirect.com/science/book/9780120884599	Kim Cuddington and Beatrix E. Beisner	9780120884599		Full text		Academic Press	Monograph	2005	2007-09-02						P		
Ecology and Classification of North American Freshwater Invertebrates (Second Edition)		978-0-12-690647-9							http://www.sciencedirect.com/science/book/9780126906479		9780126906479		Full text		Academic Press	Monograph	2001	2007-05-09			James H. Thorp and Alan P. Covich			P		
Ecology in Agriculture		978-0-12-378260-1							http://www.sciencedirect.com/science/book/9780123782601		9780123782601		Full text		Academic Press	Monograph	1997	2007-09-02			Louise E. Jackson			P		
Ecology, Genetics and Evolution of Metapopulations		978-0-12-323448-3							http://www.sciencedirect.com/science/book/9780123234483		9780123234483		Full text		Academic Press	Monograph	2004	2007-05-09			Ilkka Hanski and Oscar E. Gaggiotti			P		
Edible Sea Urchins: Biology and Ecology		978-0-444-50390-9							http://www.sciencedirect.com/science/bookseries/01679309/32		9780444503909		Full text		Elsevier	Monograph	2001	2007-09-02	32		John M. Lawrence	01679309		P		
Elements of Soil Physics		978-0-444-42242-2							http://www.sciencedirect.com/science/bookseries/01662481/13		9780444422422		Full text		Elsevier	Monograph	1983	2008-05-05	13		P. Koorevaar, G. Menelik, C. Dirksen	01662481		P		
Emerging Technologies for Food Processing		978-0-12-676757-5							http://www.sciencedirect.com/science/book/9780126767575		9780126767575		Full text		Academic Press	Monograph	2005	2007-05-09			Da-Wen Sun			P		
Encyclopedia of Foods		978-0-12-219803-8							http://www.sciencedirect.com/science/book/9780122198038	Dole Food Company, Inc. / The Mayo Clinic / UCLA Center for Human Nutrition	9780122198038		Full text		Academic Press	Monograph	2002	2007-11-09						P		
Environmental and Ecological Biochemistry		978-0-444-82177-5							http://www.sciencedirect.com/science/bookseries/18730140/5		9780444821775		Full text		Elsevier	Monograph	1995	2007-11-04	5		P.W. Hochachka, T.P. Mommsen	18730140		P		
Environmental Toxicology		978-0-444-51833-0							http://www.sciencedirect.com/science/bookseries/18730140/6		9780444518330		Full text		Elsevier	Monograph	2005	2007-09-02	6		T.P. Mommsen, T.W. Moon	18730140		P		
Enzymology of Disturbed Soils		978-0-444-50057-1							http://www.sciencedirect.com/science/bookseries/01662481/26		9780444500571		Full text		Elsevier	Monograph	1998	2007-09-02	26		S. Kiss, D. Paşca, M. Drăgan-Bularda	01662481		P		
Eriophyoid Mites Their Biology, Natural Enemies and Control		978-0-444-88628-6							http://www.sciencedirect.com/science/bookseries/15724379/6		9780444886286		Full text		Elsevier	Monograph	1996	2007-09-02	6		E.E. Lindquist, M.W. Sabelis, J. Bruin	15724379		P		
Experimental Morphogenesis and Integration of Plants		978-0-444-98738-9							http://www.sciencedirect.com/science/bookseries/0378519X/18		9780444987389		Full text		Elsevier	Monograph	1991	2012-11-05	18		Jiří Šebánek, Zdeněk Sladký, Stanislav Procházka,  Coauthors	0378519X		P		
Exploring Animal Behavior in Laboratory and Field		978-0-12-558330-5							http://www.sciencedirect.com/science/book/9780125583305		9780125583305		Full text		Academic Press	Monograph	2003	2007-05-09			Bonnie J. Ploger and Ken Yasukawa			P		
Feeding		978-0-12-632590-4							http://www.sciencedirect.com/science/book/9780126325904		9780126325904		Full text		Academic Press	Monograph	2000	2007-05-09			Kurt Schwenk			P		
Fish Nutrition (Third Edition)		978-0-12-319652-1							http://www.sciencedirect.com/science/book/9780123196521		9780123196521		Full text		Academic Press	Monograph	2003	2007-05-09			John E. Halver and Ronald W. Hardy			P		
Flavour Science		978-0-444-52742-4							http://www.sciencedirect.com/science/bookseries/01674501/43		9780444527424		Full text		Elsevier	Monograph	2006	2007-09-02	43		Wender L.P. Bredie, Mikael Agerlin Petersen	01674501		P		
Food Flavors: Formation, Analysis and Packaging Influences, Proceedings of the 9th International Flavor Conference The George Charalambous Memorial Symposium		978-0-444-82590-2							http://www.sciencedirect.com/science/bookseries/01674501/40		9780444825902		Full text		Elsevier	Monograph	1998	2007-09-02	40		E.T. Contis, C.-T. Ho, C.J. Mussinan, T.H. Parliment, F. Shahidi, A.M. Spanier	01674501		P		
Food Flavors: Generation, Analysis and Process Influence, Proceedings of the 8th International Flavor Conference		978-0-444-82013-6							http://www.sciencedirect.com/science/bookseries/01674501/37		9780444820136		Full text		Elsevier	Monograph	1995	2007-09-02	37		George Charalambous	01674501		P		
Food Science and Human Nutrition		978-0-444-88834-1							http://www.sciencedirect.com/science/bookseries/01674501/29		9780444888341		Full text		Elsevier	Monograph	1992	2013-08-30	29		GEORGE CHARALAMBOUS	01674501		P		
Food Texture and Viscosity (Second Edition)		978-0-12-119062-0							http://www.sciencedirect.com/science/book/9780121190620	Malcolm C. Bourne	9780121190620		Full text		Academic Press	Monograph	2002	2007-09-02						P		
Forest Canopies (Second Edition)		978-0-12-457553-0							http://www.sciencedirect.com/science/book/9780124575530		9780124575530		Full text		Academic Press	Monograph	2004	2007-05-29			Margaret D. Lowman and H. Bruce Rinker			P		
Formation and Properties of Clay-Polymer Complexes		978-0-444-41706-0							http://www.sciencedirect.com/science/bookseries/01662481/9		9780444417060		Full text		Elsevier	Monograph	1979	2008-04-28	9		B.K.G. Theng	01662481		P		
Fractals in Soil Science		978-0-444-50530-9							http://www.sciencedirect.com/science/bookseries/01662481/27		9780444505309		Full text		Elsevier	Monograph	2000	2007-09-02	27		Y. Pachepsky, J.W. Crawford, W.J. Rawls	01662481		P		
Freshwater Algae of North America		978-0-12-741550-5							http://www.sciencedirect.com/science/book/9780127415505		9780127415505		Full text		Academic Press	Monograph	2003	2007-05-09			John D. Wehr and Robert G. Sheath			P		
Freshwater Ecology		978-0-12-219135-0							http://www.sciencedirect.com/science/book/9780122191350	Walter K. Doods	9780122191350		Full text		Academic Press	Monograph	2002	2007-09-02						P		
Freshwater Fish Distribution		978-0-12-093156-9							http://www.sciencedirect.com/science/book/9780120931569	Tim M. Berra	9780120931569		Full text		Academic Press	Monograph	2001	2007-09-02						P		
Fundamentals of Transport Phenomena in Porous Media		978-0-444-99897-2							http://www.sciencedirect.com/science/bookseries/01662481/2		9780444998972		Full text		Elsevier	Monograph	1972	2008-05-12	2		IAHR	01662481		P		
Genetically Modified Organisms in Agriculture		978-0-12-515422-2							http://www.sciencedirect.com/science/book/9780125154222		9780125154222		Full text		Academic Press	Monograph	2001	2007-09-02			Gerald C. Nelson			P		
Genetics of Plant Pathogenic Fungi		978-0-12-033706-4							http://www.sciencedirect.com/science/bookseries/07364539/6		9780120337064		Full text		Academic Press	Monograph	1988	2013-10-02	6		G.S. Sidhu	07364539		P		
Genetics of Scots Pine		978-0-444-98724-2							http://www.sciencedirect.com/science/bookseries/01687972/3		9780444987242		Full text		Elsevier	Monograph	1991	2013-09-26	3		Maciej Giertych	01687972		P		
Geometric Morphometrics for Biologists		978-0-12-778460-1							http://www.sciencedirect.com/science/book/9780127784601	Miriam Leah Zelditch, Donald L. Swiderski, H. David Sheets and William L. Fink	9780127784601		Full text		Academic Press	Monograph	2004	2007-05-09						P		
Global Seagrass Research Methods		978-0-444-50891-1							http://www.sciencedirect.com/science/book/9780444508911		9780444508911		Full text		Elsevier Science	Monograph	2001	2007-05-09			Frederick T. Short, Catherine A. Short and Robert G. Coles			P		
Grazing Management (Second Edition)		978-0-12-710001-2							http://www.sciencedirect.com/science/book/9780127100012	John F. Vallentine	9780127100012		Full text		Academic Press	Monograph	2001	2007-05-09						P		
Great White Sharks		978-0-12-415031-7							http://www.sciencedirect.com/science/book/9780124150317		9780124150317		Full text		Academic Press	Monograph	1996	2007-09-02			A. Peter Klimley and David G. Ainley			P		
Growth Control in Woody Plants		978-0-12-424210-4							http://www.sciencedirect.com/science/book/9780124242104	Theodore T. Kozlowski and Stephen G. Pallardy	9780124242104		Full text		Academic Press	Monograph	1997	2007-09-02						P		
Handbook of Biological Control		978-0-12-257305-7							http://www.sciencedirect.com/science/book/9780122573057		9780122573057		Full text		Academic Press	Monograph	1999	2007-09-02			Thomas S. Bellows, T.W. Fisher, L.E. Caltagirone, D.L. Dahlsten, G. Gordh and C.B. Huffaker			P		
Handbook of Milk Composition		978-0-12-384430-9							http://www.sciencedirect.com/science/book/9780123844309		9780123844309		Full text		Academic Press	Monograph	1995	2007-09-02			Robert G. Jensen			P		
Handbook of Vegetable Pests		978-0-12-158861-8							http://www.sciencedirect.com/science/book/9780121588618		9780121588618		Full text		Academic Press	Monograph	2001	2007-09-02			John L. Capinera			P		
Harvested Forages		978-0-12-356255-5							http://www.sciencedirect.com/science/book/9780123562555	R. Dwain Horrocks and John F. Vallentine	9780123562555		Full text		Academic Press	Monograph	1999	2007-09-02						P		
Highlights in European Plant Biotechnology Research and Technology Transfer, Proceedings of the Second European Conference on Plant Biotechnology		978-0-444-50326-8							http://www.sciencedirect.com/science/bookseries/01687972/6		9780444503268		Full text		Elsevier	Monograph	2000	2007-09-02	6		Gert E. de Vries, Karin Metzlaff	01687972		P		
Homoplasy		978-0-12-618030-5							http://www.sciencedirect.com/science/book/9780126180305		9780126180305		Full text		Academic Press	Monograph	1996	2007-09-02			Michael J. Sanderson and Larry Hufford			P		
Hop Production		978-0-444-98770-9							http://www.sciencedirect.com/science/bookseries/0378519X/16		9780444987709		Full text		Elsevier	Monograph	1991	2012-11-05	16		Václav Rybáček	0378519X		P		
Hormones, Brain and Behavior		978-0-12-532104-4							http://www.sciencedirect.com/science/book/9780125321044		9780125321044		Full text		Academic Press	Monograph	2002	2007-05-09			Donald W. Pfaff, Arthur P. Arnold, Susan E. Fahrbach, Anne M. Etgen and Robert T. Rubin			P		
ICES Zooplankton Methodology Manual		978-0-12-327645-2							http://www.sciencedirect.com/science/book/9780123276452		9780123276452		Full text		Academic Press	Monograph	2000	2007-05-09			Roger Harris, Peter Wiebe, Jürgen Lenz, Hein Rune Skjoldal and Mark Huntley			P		
Identifying Marine Diatoms and Dinoflagellates		978-0-12-693015-3							http://www.sciencedirect.com/science/book/9780126930153		9780126930153		Full text		Academic Press	Monograph	1996	2007-09-02			Carmelo R. Tomas, Grethe R. Hasle, Erik E. Syvertsen, Karen A. Steidinger and Karl Tangen			P		
Identifying Marine Phytoplankton		978-0-12-693018-4							http://www.sciencedirect.com/science/book/9780126930184		9780126930184		Full text		Academic Press	Monograph	1997	2007-09-02			Carmelo R. Tomas			P		
Innovations in Food Packaging		978-0-12-311632-1							http://www.sciencedirect.com/science/book/9780123116321		9780123116321		Full text		Academic Press	Monograph	2005	2007-05-09			Jung H. Han			P		
Insect Clocks		978-0-444-50407-4							http://www.sciencedirect.com/science/book/9780444504074	D.S. Saunders, C.G.H. Steel, X. Vafopoulou and R.D. Lewis	9780444504074		Full text		Elsevier	Monograph	2002	2007-05-09						P		
Insect Ecology (Second Edition)		978-0-12-088772-9							http://www.sciencedirect.com/science/book/9780120887729	Timothy D. Schowalter	9780120887729		Full text		Academic Press	Monograph	2006	2007-05-09						P		
Insect Molecular Genetics (Second Edition)		978-0-12-357031-4							http://www.sciencedirect.com/science/book/9780123570314	Marjorie A. Hoy	9780123570314		Full text		Academic Press	Monograph	2003	2007-05-09						P		
Insect Pheromone Biochemistry and Molecular Biology		978-0-12-107151-6							http://www.sciencedirect.com/science/book/9780121071516		9780121071516		Full text		Academic Press	Monograph	2003	2007-05-09			Gary Blomquist and Richard Vogt			P		
Insect Timing: Circadian Rhythmicity to Seasonality		978-0-444-50608-5							http://www.sciencedirect.com/science/book/9780444506085		9780444506085		Full text		Elsevier Science B.V.	Monograph	2001	2007-09-02			D.L. Denlinger, J.M. Giebultowicz and D.S. Saunders			P		
Instrumental Methods in Food and Beverage Analysis		978-0-444-82018-1							http://www.sciencedirect.com/science/bookseries/01674501/39		9780444820181		Full text		Elsevier	Monograph	1998	2007-09-02	39		David Louis Bente Wetzel, George Charalambous	01674501		P		
Integrative Plant Anatomy		978-0-12-215170-5							http://www.sciencedirect.com/science/book/9780122151705	William C. Dickison	9780122151705		Full text		Academic Press	Monograph	2000	2007-05-09						P		
Interrelationships between Microorganisms and Plants in Soil, Proceedings of an International Symposium Liblice		978-0-444-98922-2							http://www.sciencedirect.com/science/bookseries/01662481/18		9780444989222		Full text		Elsevier	Monograph	1989	2008-04-28	18		Vlastimil Vančura, Františk Kunc	01662481		P		
Interrelationships of Fishes		978-0-12-670950-6							http://www.sciencedirect.com/science/book/9780126709506		9780126709506		Full text		Academic Press	Monograph	1996	2007-09-02			Melanie L.J. Stiassny, Lynne R. Parenti and G. David Johnson			P		
Intertidal Fishes		978-0-12-356040-7							http://www.sciencedirect.com/science/book/9780123560407	Michael H. Horn, Karen L.M. Martin and Michael A. Chotkowski	9780123560407		Full text		Academic Press	Monograph	1999	2007-09-02						P		
Introduction to the Practice of Fishery Science		978-0-12-600952-1							http://www.sciencedirect.com/science/book/9780126009521	William F. Royce	9780126009521		Full text		Academic Press	Monograph	1996	2007-09-02						P		
Inulin and Inulin-containing Crops		978-0-444-89369-7							http://www.sciencedirect.com/science/bookseries/09283420/3		9780444893697		Full text		Elsevier	Monograph	1993	2012-11-05	3		A. Fuchs	09283420		P		
