publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type
Africa	0001-9720	1750-0184	1928-01-01	1	01				http://journals.cambridge.org/action/displayBackIssues?jid=AFR		AFR		fulltext	Hybrid Journal, see http://journals.cambridge.org/action/openAccessJournal?jid=AFR&tab=openaccess for available Open Access articles	Cambridge University Press	Serial								P	
Africa Bibliography	0266-6731	1757-1642	1985-03-01	1984					http://journals.cambridge.org/action/displayBackIssues?jid=AFB		AFB		fulltext		Cambridge University Press	Serial								P	
African Studies Review	0002-0206	1555-2462	1965-04-01	8	01				http://journals.cambridge.org/action/displayBackIssues?jid=ASR		ASR		fulltext		Cambridge University Press	Serial								P	
Ageing & Society	0144-686X	1469-1779	1981-01-01	1	01				http://journals.cambridge.org/action/displayBackIssues?jid=ASO		ASO		fulltext	Hybrid Journal, see http://journals.cambridge.org/action/openAccessJournal?jid=ASO&tab=openaccess for available Open Access articles	Cambridge University Press	Serial								P	
Albion	0095-1390		1969-03-01	1	01				http://journals.cambridge.org/action/displayBackIssues?jid=ALB		ALB		fulltext		Cambridge University Press	Serial								P	
American Journal of Alternative Agriculture	0889-1893	1478-5498	1986-03-01	1	02	2003-12-01	18	04	http://journals.cambridge.org/action/displayBackIssues?jid=AJA		AJA		fulltext		Cambridge University Press	Serial								P	
American Political Science Review	0003-0554	1537-5943	1906-11-01	1	01				http://journals.cambridge.org/action/displayBackIssues?jid=PSR		PSR		fulltext	Hybrid Journal, see http://journals.cambridge.org/action/openAccessJournal?jid=PSR&tab=openaccess for available Open Access articles	Cambridge University Press	Serial								P	
Anatolian Studies	0066-1546	2048-0849	1951-12-01	1					http://journals.cambridge.org/action/displayBackIssues?jid=ANK		ANK		fulltext		Cambridge University Press	Serial								P	
Ancient Mesoamerica	0956-5361	1469-1787	1990-03-01	1	01				http://journals.cambridge.org/action/displayBackIssues?jid=ATM		ATM		fulltext	Hybrid Journal, see http://journals.cambridge.org/action/openAccessJournal?jid=ATM&tab=openaccess for available Open Access articles	Cambridge University Press	Serial								P	
Anglo-Saxon England	0263-6751	1474-0532	1972-01-01	1					http://journals.cambridge.org/action/displayBackIssues?jid=ASE		ASE		fulltext	Hybrid Journal, see http://journals.cambridge.org/action/openAccessJournal?jid=ASE&tab=openaccess for available Open Access articles	Cambridge University Press	Serial								P	
Animal Conservation	1367-9430	1469-1795	1998-02-01	1	01	2005-11-01	8	04	http://journals.cambridge.org/action/displayBackIssues?jid=ANI		ANI		fulltext		Cambridge University Press	Serial								P	
Animal Genetic Resources / Resources génétiques animales / Recursos genéticos animales	2078-6336	2078-6344	1983-04-01	1					http://journals.cambridge.org/action/displayBackIssues?jid=AGR		AGR		fulltext		Cambridge University Press	Serial								P	
Animal Health Research Reviews	1466-2523	1475-2654	2000-06-01	1	01				http://journals.cambridge.org/action/displayBackIssues?jid=AHR		AHR		fulltext	Hybrid Journal, see http://journals.cambridge.org/action/openAccessJournal?jid=AHR&tab=openaccess for available Open Access articles	Cambridge University Press	Serial								P	
Animal Science	1357-7298	1748-748X	1959-03-01	1	01				http://journals.cambridge.org/action/displayBackIssues?jid=ASC		ASC		fulltext		Cambridge University Press	Serial								P	
Annales de Limnologie - International Journal of Limnology	0003-4088	2100-000X	1965-01-01	1	01				http://journals.cambridge.org/action/displayBackIssues?jid=ANL		ANL		fulltext	Hybrid Journal, see http://journals.cambridge.org/action/openAccessJournal?jid=ANL&tab=openaccess for available Open Access articles	EDP Sciences	Serial								P	
Annals of Actuarial Science	1748-4995	1748-5002	2006-03-01	1	01				http://journals.cambridge.org/action/displayBackIssues?jid=AAS		AAS		fulltext		Cambridge University Press	Serial								P	
Annals of Human Genetics	0003-4800	1469-1809	1997-01-01	61	01	2002-11-01	66	5-6	http://journals.cambridge.org/action/displayBackIssues?jid=HGE		HGE		fulltext		Cambridge University Press	Serial								P	
Annual Review of Applied Linguistics	0267-1905	1471-6356	1980-03-01	1					http://journals.cambridge.org/action/displayBackIssues?jid=APL		APL		fulltext	Hybrid Journal, see http://journals.cambridge.org/action/openAccessJournal?jid=APL&tab=openaccess for available Open Access articles	Cambridge University Press	Serial								P	
Annual of the British School at Athens	0068-2454	2045-2403	1894-11-01	1					http://journals.cambridge.org/action/displayBackIssues?jid=ATH		ATH		fulltext		Cambridge University Press	Serial								P	
Antarctic Science	0954-1020	1365-2079	1989-03-01	1	01				http://journals.cambridge.org/action/displayBackIssues?jid=ANS		ANS		fulltext	Hybrid Journal, see http://journals.cambridge.org/action/openAccessJournal?jid=ANS&tab=openaccess for available Open Access articles	Cambridge University Press	Serial								P	
Antichthon	0066-4774	2056-8819	1967-01-01	1					http://journals.cambridge.org/action/displayBackIssues?jid=ANN		ANN		fulltext		Cambridge University Press	Serial								P	
Antiquity	0003-598x	1745-1744	1927-03-01	1	01				http://journals.cambridge.org/action/displayBackIssues?jid=AQY		AQY		fulltext	Hybrid Journal, see http://journals.cambridge.org/action/openAccessJournal?jid=AQY&tab=openaccess for available Open Access articles	Cambridge University Press	Serial								P	
Applied Psycholinguistics	0142-7164	1469-1817	1980-02-01	1	01				http://journals.cambridge.org/action/displayBackIssues?jid=APS		APS		fulltext	Hybrid Journal, see http://journals.cambridge.org/action/openAccessJournal?jid=APS&tab=openaccess for available Open Access articles	Cambridge University Press	Serial								P	
Aquatic Living Resources	0990-7440	1765-2952	1988-01-01	1	01				http://journals.cambridge.org/action/displayBackIssues?jid=ALR		ALR		fulltext	Hybrid Journal, see http://journals.cambridge.org/action/openAccessJournal?jid=ALR&tab=openaccess for available Open Access articles	EDP Sciences	Serial								P	
Arabic Sciences and Philosophy	0957-4239	1474-0524	1991-03-01	1	01				http://journals.cambridge.org/action/displayBackIssues?jid=ASP		ASP		fulltext	Hybrid Journal, see http://journals.cambridge.org/action/openAccessJournal?jid=ASP&tab=openaccess for available Open Access articles	Cambridge University Press	Serial								P	
Arbor Clinical Nutrition Updates	1446-5450	1446-5450	2006-01-01	237					http://journals.cambridge.org/action/displayBackIssues?jid=ACN		ACN		fulltext		Cambridge University Press	Serial								P	
Archaeologia	0261-3409		1770-01-01	1	01				http://journals.cambridge.org/action/displayBackIssues?jid=ACH		ACH		fulltext		Cambridge University Press	Serial								P	
Archaeological Dialogues	1380-2038	1478-2294	1994-08-01	1	02				http://journals.cambridge.org/action/displayBackIssues?jid=ARD		ARD		fulltext	Hybrid Journal, see http://journals.cambridge.org/action/openAccessJournal?jid=ARD&tab=openaccess for available Open Access articles	Cambridge University Press	Serial								P	
Archaeological Reports	0570-6084	2041-4102	1955-11-01	1					http://journals.cambridge.org/action/displayBackIssues?jid=ARE		ARE		fulltext		Cambridge University Press	Serial								P	
Asian Journal of Comparative Law	1932-0205	1932-0205	2006-01-01	1					http://journals.cambridge.org/action/displayBackIssues?jid=ACL		ACL		fulltext		Cambridge University Press	Serial								P	
Asian Journal of International Law	2044-2513	2044-2521	2011-01-25	1	01				http://journals.cambridge.org/action/displayBackIssues?jid=AJL		AJL		fulltext	Hybrid Journal, see http://journals.cambridge.org/action/openAccessJournal?jid=AJL&tab=openaccess for available Open Access articles	Cambridge University Press	Serial								P	
Asian Journal of Law and Society	2052-9015	2052-9023	2014-05-01	1	01				http://journals.cambridge.org/action/displayBackIssues?jid=ALS		ALS		fulltext	Hybrid Journal, see http://journals.cambridge.org/action/openAccessJournal?jid=ALS&tab=openaccess for available Open Access articles	Cambridge University Press	Serial								P	
Australasian Journal of Organisational Psychology	n/a	2054-2232	2008-08-01	1					http://journals.cambridge.org/action/displayBackIssues?jid=ORP		ORP		fulltext		Cambridge University Press	Serial								P	
Australasian Journal of Special Education	1030-0112	1833-6914	2009-08-01	33	01				http://journals.cambridge.org/action/displayBackIssues?jid=JSE		JSE		fulltext		Cambridge University Press	Serial								P	
Australian Journal of Environmental Education	0814-0626	2049-775X	1984-07-01	1	01				http://journals.cambridge.org/action/displayBackIssues?jid=AEE		AEE		fulltext		Cambridge University Press	Serial								P	
Australian and New Zealand Journal of Family Therapy	0814-723X	1467-8438	2007-03-01	28	01	2012-12-01	33	04	http://journals.cambridge.org/action/displayBackIssues?jid=AFT		AFT		fulltext		Cambridge University Press	Serial								P	
Austrian History Yearbook	0067-2378	1558-5255	1965-01-01	1					http://journals.cambridge.org/action/displayBackIssues?jid=AHY		AHY		fulltext		Cambridge University Press	Serial								P	
BSAP Occasional Publication	0263-967X		1978-01-01	1					http://journals.cambridge.org/action/displayBackIssues?jid=OBA		OBA		fulltext		Cambridge University Press	Serial								P	
Behavioral and Brain Sciences	0140-525X	1469-1825	1978-03-01	1	01				http://journals.cambridge.org/action/displayBackIssues?jid=BBS		BBS		fulltext		Cambridge University Press	Serial								P	
Behaviour Change	0813-4839	2049-7768	1984-03-01	1	01				http://journals.cambridge.org/action/displayBackIssues?jid=BEC		BEC		fulltext	Hybrid Journal, see http://journals.cambridge.org/action/openAccessJournal?jid=BEC&tab=openaccess for available Open Access articles	Cambridge University Press	Serial								P	
Behavioural and Cognitive Psychotherapy	1352-4658	1469-1833	1975-01-01	3	01				http://journals.cambridge.org/action/displayBackIssues?jid=BCP		BCP		fulltext	Hybrid Journal, see http://journals.cambridge.org/action/openAccessJournal?jid=BCP&tab=openaccess for available Open Access articles	Cambridge University Press	Serial								P	
Bilingualism: Language and Cognition	1366-7289	1469-1841	1998-04-01	1	01				http://journals.cambridge.org/action/displayBackIssues?jid=BIL		BIL		fulltext	Hybrid Journal, see http://journals.cambridge.org/action/openAccessJournal?jid=BIL&tab=openaccess for available Open Access articles	Cambridge University Press	Serial								P	
BioSocieties	1745-8552	1745-8560	2006-03-01	1	01				http://journals.cambridge.org/action/displayBackIssues?jid=BIO		BIO		fulltext		Cambridge University Press	Serial								P	
Biofilms	1479-0505	1479-0513	2004-01-01	1	01				http://journals.cambridge.org/action/displayBackIssues?jid=BFM		BFM		fulltext		Cambridge University Press	Serial								P	
Biological Reviews	1464-7931	1469-185X	1997-02-01	72	01	2006-11-01	81	04	http://journals.cambridge.org/action/displayBackIssues?jid=BRE		BRE		fulltext		Cambridge University Press	Serial								P	
Bird Conservation International	0959-2709	1474-0001	1991-03-01	1	01				http://journals.cambridge.org/action/displayBackIssues?jid=BCI		BCI		fulltext	Hybrid Journal, see http://journals.cambridge.org/action/openAccessJournal?jid=BCI&tab=openaccess for available Open Access articles	Cambridge University Press	Serial								P	
Brain Impairment	1443-9646	1839-5252	2000-05-01	1	01				http://journals.cambridge.org/action/displayBackIssues?jid=BIM		BIM		fulltext	Hybrid Journal, see http://journals.cambridge.org/action/openAccessJournal?jid=BIM&tab=openaccess for available Open Access articles	Cambridge University Press	Serial								P	
Breast Cancer Online	n/a	1470-9031	2004-09-29	7	09				http://journals.cambridge.org/action/displayBackIssues?jid=BCO		BCO		fulltext		Cambridge University Press	Serial								P	
Britannia	0068-113X	1753-5352	1970-11-01	1					http://journals.cambridge.org/action/displayBackIssues?jid=BRI		BRI		fulltext		Cambridge University Press	Serial								P	
British Actuarial Journal	1357-3217	2044-0456	1995-04-01	1	01				http://journals.cambridge.org/action/displayBackIssues?jid=BAJ		BAJ		fulltext		Cambridge University Press	Serial							JIA	P	
British Catholic History	2055-7973	2055-7981	2008-05-01	29	01				http://journals.cambridge.org/action/displayBackIssues?jid=BCH		BCH		fulltext	Hybrid Journal, see http://journals.cambridge.org/action/openAccessJournal?jid=BCH&tab=openaccess for available Open Access articles	Cambridge University Press	Serial								P	
British Journal of Anaesthetic and Recovery Nursing	1742-6456	1744-2192	2000-02-01	1	01				http://journals.cambridge.org/action/displayBackIssues?jid=ARN		ARN		fulltext		Cambridge University Press	Serial								P	
British Journal of Music Education	0265-0517	1469-2104	1984-03-01	1	01				http://journals.cambridge.org/action/displayBackIssues?jid=BME		BME		fulltext	Hybrid Journal, see http://journals.cambridge.org/action/openAccessJournal?jid=BME&tab=openaccess for available Open Access articles	Cambridge University Press	Serial								P	
British Journal of Nutrition	0007-1145	1475-2662	1947-09-01	1	01				http://journals.cambridge.org/action/displayBackIssues?jid=BJN		BJN		fulltext	Hybrid Journal, see http://journals.cambridge.org/action/openAccessJournal?jid=BJN&tab=openaccess for available Open Access articles	Cambridge University Press	Serial								P	
British Journal of Political Science	0007-1234	1469-2112	1971-01-01	1	01				http://journals.cambridge.org/action/displayBackIssues?jid=JPS		JPS		fulltext	Hybrid Journal, see http://journals.cambridge.org/action/openAccessJournal?jid=JPS&tab=openaccess for available Open Access articles	Cambridge University Press	Serial								P	
Bulletin International des Societes de la Croix-Rouge	1816-9686	1816-9686	1869-10-01	1	01	1918-10-01	49	S1	http://journals.cambridge.org/action/displayBackIssues?jid=BRC		BRC		fulltext		Cambridge University Press	Serial								P	
Bulletin of Entomological Research	0007-4853	1475-2670	1910-04-01	1	01				http://journals.cambridge.org/action/displayBackIssues?jid=BER		BER		fulltext	Hybrid Journal, see http://journals.cambridge.org/action/openAccessJournal?jid=BER&tab=openaccess for available Open Access articles	Cambridge University Press	Serial								P	
Bulletin of Entomological Research Supplement Series	1367-4269		1993-09-01	1					http://journals.cambridge.org/action/displayBackIssues?jid=BES		BES		fulltext		Cambridge University Press	Serial								P	
Bulletin of Symbolic Logic	1079-8986	1943-5894	1995-03-01	1	01				http://journals.cambridge.org/action/displayBackIssues?jid=BSL		BSL		fulltext		Cambridge University Press	Serial								P	
Bulletin of The Natural History Museum.  Botany Series	0968-0446	1475-2956	2002-06-27	32	01	2002-11-28	32	02	http://journals.cambridge.org/action/displayBackIssues?jid=BBO		BBO		fulltext		Cambridge University Press	Serial								P	
Bulletin of The Natural History Museum. Entomology Series	0968-0454	1475-2964	2002-06-27	71	01	2002-11-28	71	02	http://journals.cambridge.org/action/displayBackIssues?jid=BEN		BEN		fulltext		Cambridge University Press	Serial								P	
Bulletin of The Natural History Museum. Geology Series	0968-0462	1475-2972	2002-06-27	58	01	2003-06-26	58	S1	http://journals.cambridge.org/action/displayBackIssues?jid=BGE		BGE		fulltext		Cambridge University Press	Serial								P	
Bulletin of The Natural History Museum. Zoology Series	0968-0470	1475-2980	2002-06-27	68	01	2002-11-28	68	02	http://journals.cambridge.org/action/displayBackIssues?jid=BZO		BZO		fulltext		Cambridge University Press	Serial								P	
Bulletin of the Australian Mathematical Society	0004-9727	1755-1633	1969-04-01	1	01				http://journals.cambridge.org/action/displayBackIssues?jid=BAZ		BAZ		fulltext		Cambridge University Press	Serial								P	
Bulletin of the British Association for American Studies	0524-5001	0524-5001	1956-04-01	1		1966-01-01	12		http://journals.cambridge.org/action/displayBackIssues?jid=BMS		BMS		fulltext		Cambridge University Press	Serial								P	
Bulletin of the British Society for the History of Science	0950-5636	0950-5636	1949-01-01	1	01	1961-07-01	2	20	http://journals.cambridge.org/action/displayBackIssues?jid=BBH		BBH		fulltext		Cambridge University Press	Serial								P	
Bulletin of the International Institute of Social History	1873-0841	1873-0841	1937-04-01	1	01	1955-12-01	10	03	http://journals.cambridge.org/action/displayBackIssues?jid=BSH		BSH		fulltext		Cambridge University Press	Serial								P	
Bulletin of the London Mathematical Society	0024-6093	1469-2120	1997-01-01	29	01	2006-12-01	38	06	http://journals.cambridge.org/action/displayBackIssues?jid=BLM		BLM		fulltext		Cambridge University Press	Serial								P	
Bulletin of the School of Oriental and African Studies	0041-977X	1474-0699	1917-02-01	1	01				http://journals.cambridge.org/action/displayBackIssues?jid=BSO		BSO		fulltext	Hybrid Journal, see http://journals.cambridge.org/action/openAccessJournal?jid=BSO&tab=openaccess for available Open Access articles	Cambridge University Press	Serial								P	
Business Ethics Quarterly	1052-150X	2153-3326	1991-01-01	1	01				http://journals.cambridge.org/action/displayBackIssues?jid=BEQ		BEQ		fulltext		Cambridge University Press	Serial								P	
Business History Review	0007-6805	2044-768X	1926-06-01	1	01				http://journals.cambridge.org/action/displayBackIssues?jid=BHR		BHR		fulltext		Cambridge University Press	Serial								P	
CNS Spectrums	1092-8529	2165-6509	1996-09-01	1	01				http://journals.cambridge.org/action/displayBackIssues?jid=CNS		CNS		fulltext	Hybrid Journal, see http://journals.cambridge.org/action/openAccessJournal?jid=CNS&tab=openaccess for available Open Access articles	Cambridge University Press	Serial								P	
CORD Conference Proceedings	2049-1255		2007-01-01	39	S1				http://journals.cambridge.org/action/displayBackIssues?jid=COR		COR		fulltext		Cambridge University Press	Serial								P	
Cambridge Archaeological Journal	0959-7743	1474-0540	1991-04-01	1	01				http://journals.cambridge.org/action/displayBackIssues?jid=CAJ		CAJ		fulltext	Hybrid Journal, see http://journals.cambridge.org/action/openAccessJournal?jid=CAJ&tab=openaccess for available Open Access articles	Cambridge University Press	Serial								P	
Cambridge Historical Journal	1474-6913	1474-6913	1923-01-01	1	01	1957-01-01	13	02	http://journals.cambridge.org/action/displayBackIssues?jid=CHJ		CHJ		fulltext		Cambridge University Press	Serial								P	
Cambridge Journal of Postcolonial Literary Inquiry	2052-2614	2052-2622	2014-03-01	1	01				http://journals.cambridge.org/action/displayBackIssues?jid=PLI		PLI		fulltext	Hybrid Journal, see http://journals.cambridge.org/action/openAccessJournal?jid=PLI&tab=openaccess for available Open Access articles	Cambridge University Press	Serial								P	
Cambridge Opera Journal	0954-5867	1474-0621	1989-03-01	1	01				http://journals.cambridge.org/action/displayBackIssues?jid=OPR		OPR		fulltext	Hybrid Journal, see http://journals.cambridge.org/action/openAccessJournal?jid=OPR&tab=openaccess for available Open Access articles	Cambridge University Press	Serial								P	
Cambridge Quarterly of Healthcare Ethics	0963-1801	1469-2147	1992-03-01	1	02				http://journals.cambridge.org/action/displayBackIssues?jid=CQH		CQH		fulltext	Hybrid Journal, see http://journals.cambridge.org/action/openAccessJournal?jid=CQH&tab=openaccess for available Open Access articles	Cambridge University Press	Serial								P	
Cambridge Test Journal		1234-5679	2012-09-01	139	10				http://journals.cambridge.org/action/displayBackIssues?jid=ZZZ		ZZZ		fulltext		Cambridge University Press	Serial								P	
Camden Fifth Series	0960-1163	1478-5110	1993-07-01	1					http://journals.cambridge.org/action/displayBackIssues?jid=RHC		RHC		fulltext		Cambridge University Press	Serial							RHF	P	
Camden Fourth Series	0068-6905	0068-6905	1964-07-01	1		1992-07-01	44		http://journals.cambridge.org/action/displayBackIssues?jid=RHF		RHF		fulltext		Cambridge University Press	Serial							RHR	P	
Camden New Series	2042-1702	2042-1702	1872-03-01	1		1901-12-01	62		http://journals.cambridge.org/action/displayBackIssues?jid=RHN		RHN		fulltext		Cambridge University Press	Serial							RHO	P	
Camden Old Series	2042-1699	2042-1699	1838-04-01	1		1872-12-01	106		http://journals.cambridge.org/action/displayBackIssues?jid=RHO		RHO		fulltext		Cambridge University Press	Serial								P	
Camden Third Series	2042-1710	2042-1710	1900-07-01	1		1963-07-01	94		http://journals.cambridge.org/action/displayBackIssues?jid=RHR		RHR		fulltext		Cambridge University Press	Serial							RHN	P	
Canadian Journal of Economics and Political Science	0315-4890		1935-02-01	1	01				http://journals.cambridge.org/action/displayBackIssues?jid=CJE		CJE		fulltext		Cambridge University Press	Serial								P	
Canadian Journal of Emergency Medicine	n/a	1481-8035	1999-04-01	1	01				http://journals.cambridge.org/action/displayBackIssues?jid=CEM		CEM		fulltext		Cambridge University Press	Serial								P	
Canadian Journal of Law & Jurisprudence	0841-8209	2056-4260	1988-01-01	1	01				http://journals.cambridge.org/action/displayBackIssues?jid=CJL		CJL		fulltext	Hybrid Journal, see http://journals.cambridge.org/action/openAccessJournal?jid=CJL&tab=openaccess for available Open Access articles	Cambridge University Press	Serial								P	
Canadian Journal of Law and Society / La Revue Canadienne Droit et Société	0829-3201	1911-0227	1986-01-01	1					http://journals.cambridge.org/action/displayBackIssues?jid=CLS		CLS		fulltext	Hybrid Journal, see http://journals.cambridge.org/action/openAccessJournal?jid=CLS&tab=openaccess for available Open Access articles	Cambridge University Press	Serial								P	
Canadian Journal of Neurological Sciences / Journal Canadien des Sciences Neurologiques	0317-1671	2057-0155	1999-05-01	26	S1				http://journals.cambridge.org/action/displayBackIssues?jid=CJN		CJN		fulltext		Cambridge University Press	Serial								P	
Canadian Journal of Political Science/Revue canadienne de science politique	0008-4239	1744-9324	1968-03-01	1	01				http://journals.cambridge.org/action/displayBackIssues?jid=CJP		CJP		fulltext		Cambridge University Press	Serial								P	
Canadian Journal on Aging/La Revue canadienne du vieillissement	0714-9808	1710-1107	1982-09-01	1	1-2				http://journals.cambridge.org/action/displayBackIssues?jid=CJG		CJG		fulltext	Hybrid Journal, see http://journals.cambridge.org/action/openAccessJournal?jid=CJG&tab=openaccess for available Open Access articles	Cambridge University Press	Serial								P	
Cardiology in the Young	1047-9511	1467-1107	1991-01-01	1	01				http://journals.cambridge.org/action/displayBackIssues?jid=CTY		CTY		fulltext	Hybrid Journal, see http://journals.cambridge.org/action/openAccessJournal?jid=CTY&tab=openaccess for available Open Access articles	Cambridge University Press	Serial								P	
Central European History	0008-9389	1569-1616	1968-03-01	1	01				http://journals.cambridge.org/action/displayBackIssues?jid=CCC		CCC		fulltext		Cambridge University Press	Serial								P	
Child Psychology and Psychiatry Review	1360-6417	1469-2155	1998-02-01	3	01	2001-11-01	6	04	http://journals.cambridge.org/action/displayBackIssues?jid=CPR		CPR		fulltext		Cambridge University Press	Serial								P	
Children Australia	1035-0772	2049-7776	2011-04-01	36	01				http://journals.cambridge.org/action/displayBackIssues?jid=CHA		CHA		fulltext		Cambridge University Press	Serial								P	
Chinese Journal of Agricultural Biotechnology	1479-2362	1479-2370	2004-04-01	1	01				http://journals.cambridge.org/action/displayBackIssues?jid=CJA		CJA		fulltext		Cambridge University Press	Serial								P	
Church History: Studies in Christianity and Culture	0009-6407	1755-2613	1932-03-01	1	01				http://journals.cambridge.org/action/displayBackIssues?jid=CHH		CHH		fulltext		Cambridge University Press	Serial								P	
Combinatorics, Probability and Computing	0963-5483	1469-2163	1992-03-01	1	01				http://journals.cambridge.org/action/displayBackIssues?jid=CPC		CPC		fulltext	Hybrid Journal, see http://journals.cambridge.org/action/openAccessJournal?jid=CPC&tab=openaccess for available Open Access articles	Cambridge University Press	Serial								P	
Communications in Computational Physics	1815-2406	1991-7120	2013-01-01	13	01				http://journals.cambridge.org/action/displayBackIssues?jid=CPH		CPH		fulltext		Cambridge University Press	Serial								P	
Comparative Exercise Physiology	1755-2540	1755-2559	2008-02-01	5	01				http://journals.cambridge.org/action/displayBackIssues?jid=CEP		CEP		fulltext		Cambridge University Press	Serial							ECP	P	
Comparative Studies in Society and History	0010-4175	1475-2999	1958-10-01	1	01				http://journals.cambridge.org/action/displayBackIssues?jid=CSS		CSS		fulltext		Cambridge University Press	Serial								P	
Compositio Mathematica	0010-437X	1570-5846	1997-01-01	105	01				http://journals.cambridge.org/action/displayBackIssues?jid=COM		COM		fulltext		Cambridge University Press	Serial								P	
Contemporary European History	0960-7773	1469-2171	1992-03-01	1	01				http://journals.cambridge.org/action/displayBackIssues?jid=CEH		CEH		fulltext	Hybrid Journal, see http://journals.cambridge.org/action/openAccessJournal?jid=CEH&tab=openaccess for available Open Access articles	Cambridge University Press	Serial								P	
Continuity and Change	0268-4160	1469-218X	1986-05-01	1	01				http://journals.cambridge.org/action/displayBackIssues?jid=CON		CON		fulltext	Hybrid Journal, see http://journals.cambridge.org/action/openAccessJournal?jid=CON&tab=openaccess for available Open Access articles	Cambridge University Press	Serial								P	
Dance Research Journal	0149-7677	1940-509X	1973-11-01	6	01				http://journals.cambridge.org/action/displayBackIssues?jid=DRJ		DRJ		fulltext		Cambridge University Press	Serial								P	
Development and Psychopathology	0954-5794	1469-2198	1989-01-01	1	01				http://journals.cambridge.org/action/displayBackIssues?jid=DPP		DPP		fulltext	Hybrid Journal, see http://journals.cambridge.org/action/openAccessJournal?jid=DPP&tab=openaccess for available Open Access articles	Cambridge University Press	Serial								P	
Developmental Medicine & Child Neurology	0012-1622	1469-8749	1999-01-01	41	01	2006-12-01	48	12	http://journals.cambridge.org/action/displayBackIssues?jid=DMC		DMC		fulltext		Cambridge University Press	Serial								P	
Dialogue IO	7777-7777	1111-1111	2002-01-01	1	01				http://journals.cambridge.org/action/displayBackIssues?jid=DIO		DIO		fulltext		Cambridge University Press	Serial								P	
Dialogue: Canadian Philosophical Review/Revue canadienne de philosophie	0012-2173	1759-0949	1962-06-01	1	01				http://journals.cambridge.org/action/displayBackIssues?jid=DIA		DIA		fulltext		Cambridge University Press	Serial								P	
Diamond Light Source Proceedings	n/a	2044-8201	2011-04-27	1	SRMS-7				http://journals.cambridge.org/action/displayBackIssues?jid=DLS		DLS		fulltext		Cambridge University Press	Serial								P	
Disaster Medicine and Public Health Preparedness	1935-7893	1938-744X	2007-07-01	1	01				http://journals.cambridge.org/action/displayBackIssues?jid=DMP		DMP		fulltext	Hybrid Journal, see http://journals.cambridge.org/action/openAccessJournal?jid=DMP&tab=openaccess for available Open Access articles	Cambridge University Press	Serial								P	
