Internal ID,Parent Org. ID,Authorized Name,Organization Name,Provider,Vendor,Publisher,Licensor
405,405,Y,"John Jay College of Criminal Justice, Institute for Criminal Justice Ethics",N,N,Y,N
417,417,Y,American Agricultural Economics Association,N,N,Y,N
419,419,Y,American Accounting Association,Y,N,Y,N
441,441,Y,Munksgaard,N,N,Y,N
449,449,Y,American Cancer Society,N,N,Y,N
473,473,Y,Plenum,N,N,Y,N
475,475,Y,Kluwer,N,N,Y,N
476,476,Y,American School Counselor Association,N,N,Y,N
488,488,Y,IOS Press,N,N,Y,N
504,504,Y,"American University, Center for Congressional and Presidential Studies",N,N,N,N
508,508,Y,United Nations,N,N,Y,N
511,511,Y,Case Western Reserve University School of Law,N,N,Y,N
522,522,Y,American Institute of Biological Sciences,N,N,Y,N
530,530,Y,American Institute of Physics,Y,Y,Y,N
533,533,Y,Time,N,N,Y,N
537,537,Y,PRIMEDIA Business Magazines & Media,N,N,Y,N
538,538,Y,UNESCO,N,N,N,N
566,566,Y,American Society of Mechanical Engineers,Y,Y,Y,N
569,569,Y,American Foundation for the Blind,N,N,Y,N
577,577,Y,Aerobics and Fitness Association of America,N,N,Y,N
584,584,Y,American College of Physicians,N,N,Y,N
595,595,Y,American Forests,N,N,N,N
607,607,Y,National Endowment for the Humanities,N,N,Y,N
613,613,Y,American Academy of Pediatrics,N,N,Y,N
623,623,Y,American Correctional Association,N,N,Y,N
631,631,Y,The Institute,N,N,Y,N
664,664,Y,Manisses Communications Group,N,N,Y,N
677,677,Y,A. Verner Nelson Associates,N,N,Y,N
685,685,Y,Euromoney Institutional Investor PLC,N,N,Y,N
709,709,Y,Association for Quality and Participation,N,N,Y,N
726,726,Y,World Scientific,N,N,Y,N
736,736,Y,American Academy of Family Physicians,N,N,N,N
758,758,Y,American Society of Transportation and Logistics,N,N,Y,N
764,764,Y,American Public Health Association,N,N,Y,N
771,771,Y,Alan Guttmacher Institute,N,N,Y,N
780,780,Y,Emory University School of Law,N,N,Y,N
798,798,Y,ASM International,N,Y,Y,N
822,822,Y,A.R. Liss,N,N,Y,N
845,845,Y,Scranton Gillette Communications,N,N,Y,N
852,852,Y,Tucker Publications,N,N,Y,N
870,870,Y,Elsevier,Y,N,Y,N
871,871,Y,Pergamon Press,N,N,Y,N
879,879,Y,American Society of Safety Engineers,N,N,Y,N
883,883,Y,Teaduste Akadeemia Kirjastus,N,N,Y,N
887,887,Y,American Society of Civil Engineers,Y,Y,Y,N
898,898,Y,A&E Television Networks,N,N,N,N
905,905,Y,Indiana University Press,N,N,Y,N
907,907,Y,American Meteorological Society,Y,Y,Y,N
923,923,Y,American Society of Church History,N,N,Y,N
928,928,Y,"American Society of Law, Medicine & Ethics",N,N,Y,N
934,934,Y,Institute of Southeast Asian Studies,N,N,Y,N
946,946,Y,American Public Human Services Association,N,N,Y,N
947,947,Y,Scholastic Inc,N,N,Y,N
968,968,Y,Chinese Chemical Society,N,N,Y,N
971,971,Y,A. Sutton,N,N,Y,N
993,993,Y,American Association of University Professors,N,N,Y,N
1013,1013,Y,American Association of Blood Banks,N,N,Y,N
1044,1044,Y,Air Force Historical Foundation,N,N,Y,N
1058,1058,Y,Academic Press,N,N,Y,N
1069,1069,Y,A.B. Lundequistska Bokhandeln,N,N,Y,N
1077,1077,Y,Butterworths,N,N,Y,N
1080,1080,Y,Africa Institute of South Africa,N,N,N,N
1087,1087,Y,Guilford Press,N,N,Y,N
1094,1094,Y,Acta Oncologica,N,N,Y,N
1096,1096,Y,Acta Radiologica,N,N,Y,N
1099,1099,Y,Ohio State University Press,N,N,Y,N
1104,1104,Y,Institute of Jewish Affairs,N,N,Y,N
1105,1105,Y,Aarhus University Press,N,N,N,N
1114,1114,Y,Analytic Press,N,N,Y,N
1121,1121,Y,Ablex Pub. Corp,N,N,Y,N
1127,1127,Y,Aigis Publications,N,N,N,N
1137,1137,Y,Opragen Publications,N,Y,N,N
1155,1155,Y,Abacus Press,N,N,Y,N
1159,1159,Y,American Association for the Study of Headache,N,N,N,N
1162,1162,Y,Albany Law School,N,N,Y,N
1164,1164,Y,American Ceramic Society,N,N,Y,N
1199,1199,Y,American Indian Higher Education Consortium,N,N,Y,N
1209,1209,Y,University of California Press,N,N,Y,N
1212,1212,Y,"American Association of Sex Educators, Counselors, and Therapists",N,N,Y,N
1218,1218,Y,American Educational Trust,N,N,Y,N
1227,1227,Y,American Historical Association,N,N,Y,N
1232,1232,Y,Association for Experiential Education,N,N,Y,N
1234,1234,Y,Adis International,Y,N,Y,N
1254,1254,Y,"American Society of Heating, Refrigerating and Air-Conditioning Engineers",N,N,Y,N
1257,1257,Y,American Oriental Society,N,N,Y,N
1262,1262,Y,Royal Australasian College of Surgeons,N,N,N,N
1273,1273,Y,American Association of Teachers of German,N,N,Y,N
1282,1282,Y,American Schools of Oriental Research,N,Y,Y,N
1315,1315,Y,Institute of Measurement and Control,N,N,N,N
1325,1325,Y,Aeolus Press,N,N,Y,N
1328,1328,Y,Akademische Verlagsgesellschaft,N,N,Y,N
1332,1332,Y,Science Press,N,N,Y,N
1359,1359,Y,Johns Hopkins University Press,N,Y,Y,N
1362,1362,Y,Harcourt Brace Jovanovich,N,N,Y,N
1372,1372,Y,Japanese Society of Fisheries Science,N,N,Y,N
1394,1394,Y,Marston Book Services,N,N,N,N
1398,1398,Y,Korean Society for Molecular Biology,N,N,Y,N
1405,1405,Y,Association for Australian Rural Nurses,N,N,N,N
1414,1414,Y,Andover Medical Publishers,N,N,Y,N
1417,1417,Y,American Physical Therapy Association,N,N,Y,N
1425,1425,Y,Appleton & Lange,N,N,Y,N
1430,1430,Y,Association for Religion and Intellectual Life,N,N,N,N
1435,1435,Y,Statistics Canada,N,N,Y,N
1447,1447,Y,Arnold,N,N,Y,N
1450,1450,Y,Quaker Studies Research Association,N,N,Y,N
1461,1461,Y,East View Publications,N,N,Y,N
1485,1485,Y,Akademiai Kiado,N,N,N,N
1499,1499,Y,American Society of Electroneurodiagnostic Technologists,N,N,Y,N
1507,1507,Y,Associated University Presses,N,N,Y,N
1519,1519,Y,American Society for Clinical Investigation,N,N,Y,N
1522,1522,Y,American Culture Association,N,N,Y,N
1543,1543,Y,American Society of Criminology,N,N,Y,N
1589,1589,Y,American Ornithologists' Union,N,N,Y,N
1605,1605,Y,American Society for Training and Development,N,N,Y,N
1632,1632,Y,American Association of Nurse Anesthetists,N,N,Y,N
1634,1634,Y,Asia Pacific Theological Seminary,N,N,Y,N
1650,1650,Y,Aspen Publishers,N,N,Y,N
1659,1659,Y,American Society of Health-System Pharmacists,N,N,Y,N
1667,1667,Y,Henry Stewart Publications,N,N,Y,N
1677,1677,Y,Ahfad University for Women,N,N,N,N
1692,1692,Y,Association for Scottish Literary Studies,N,N,Y,N
1697,1697,Y,American Society of Mammalogists,N,N,Y,N
1698,1698,Y,Public Library of Science,N,Y,Y,N
1704,1704,Y,American Speech-Language-Hearing Association,N,N,Y,N
1707,1707,Y,Association for Career and Technical Education,N,N,Y,N
1712,1712,Y,American Legal Studies Association,N,N,Y,N
1713,1713,Y,Academy of Criminal Justice Sciences,N,N,Y,N
1788,1788,Y,Slack,N,N,Y,N
1800,1800,Y,Institute of British Geographers,N,N,Y,N
1811,1811,Y,Heyden,N,N,Y,N
1834,1834,Y,AACSB International,N,N,Y,N
1851,1851,Y,OECD Nuclear Energy Agency,N,N,Y,N
1888,1888,Y,Organisation for Economic Co-operation and Development,Y,N,Y,N
1890,1890,Y,Aldine de Gruyter,N,N,Y,N
1927,1927,Y,International Press,Y,N,Y,N
1931,1931,Y,American Epilepsy Society,N,N,N,N
1951,1951,Y,Ford Foundation,N,Y,Y,N
1962,1962,Y,Westminster Theological Seminary,N,N,Y,N
1969,1969,Y,American Mental Health Counselors Association,N,N,Y,N
1970,1970,Y,Scientific American,N,N,Y,N
1972,1972,Y,Arkansas Historical Association,N,N,Y,N
1974,1974,Y,PennWell,N,N,Y,N
2003,2003,Y,A.A. Balkema,N,N,Y,N
2005,2005,Y,Michigan State University Press,N,N,Y,N
2029,2029,Y,Institute on Religion in an Age of Science,N,N,Y,N
2035,2035,Y,Aspen Law & Business,N,N,Y,N
2038,2038,Y,"Scientific American, Inc",N,N,Y,N
2048,2048,Y,Institution of Engineering and Technology,N,N,Y,N
2070,2070,Y,Widener University School of Law,N,N,Y,N
2074,2074,Y,Academy of Spirituality and Paranormal Studies,N,N,Y,N
2111,2111,Y,American Economic Association,Y,N,Y,N
2116,2116,Y,American Sociological Association,N,N,Y,N
2121,2121,Y,American Statistical Association,Y,N,Y,N
2133,2133,Y,Association for Symbolic Logic,N,N,Y,N
2137,2137,Y,American Viewpoint Society,N,N,Y,N
2145,2145,Y,Ecological Society of America,Y,N,Y,N
2146,2146,Y,Institute of Mathematical Statistics,N,N,Y,N
2150,2150,Y,American Society of International Law,N,N,Y,N
2180,2180,Y,Adams Press,N,N,Y,N
2203,2203,Y,Institute of Management Accountants,N,N,Y,N
2212,2212,Y,Academy of Management,N,N,Y,N
2219,2219,Y,American Journal of Economics and Sociology,N,N,Y,N
2223,2223,Y,American Society of Military Comptrollers,N,N,Y,N
2233,2233,Y,American Institute for Decision Sciences,N,N,Y,N
2258,2258,Y,Association for Evolutionary Economics,N,N,Y,N
2259,2259,Y,American Institute of Certified Public Accountants,N,N,Y,N
2260,2260,Y,Advanstar Communications,N,N,Y,N
2261,2261,Y,American Marketing Association,N,Y,Y,N
2263,2263,Y,American Risk and Insurance Association,N,N,Y,N
2270,2270,Y,American Management Association,N,N,Y,N
2282,2282,Y,American Society for Public Administration,N,N,Y,N
2327,2327,Y,"Warren, Gorham & Lamont",N,N,Y,N
2332,2332,Y,"A.M. Best Company, Inc",N,N,Y,N
2358,2358,Y,Association for Business Communication,N,N,Y,N
2365,2365,Y,American Association of Cost Engineers,N,N,Y,N
2370,2370,Y,American Real Estate and Urban Economics Association,N,N,Y,N
2371,2371,Y,Institute of Management Services,N,N,Y,N
2399,2399,Y,Administrative Sciences Association of Canada,N,N,N,N
2409,2409,Y,Association for Comparative Economic Studies,N,N,Y,N
2411,2411,Y,American Society for Competitiveness,N,N,Y,N
2440,2440,Y,American Enterprise Institute for Public Policy Research,N,N,Y,N
2442,2442,Y,Act III Publications,N,N,Y,N
2447,2447,Y,American Academy of Economic and Financial Experts,N,N,Y,N
2448,2448,Y,3-R Executive Systems,N,N,Y,N
2467,2467,Y,Institutional Investor,N,N,Y,N
2470,2470,Y,Cowles/SIMBA Information,N,N,Y,N
2485,2485,Y,E & FN Spon,N,N,Y,N
2507,2507,Y,Commerce Clearing House,N,N,Y,N
2532,2532,Y,American Real Estate Society,N,N,Y,N
2578,2578,Y,Institute of Management & Administration,N,N,Y,N
2614,2614,Y,Association for Consumer Research,N,N,Y,N
2619,2619,Y,American Farm Economic Association,N,N,Y,N
2638,2638,Y,Aspen Systems Corporation,N,N,Y,N
2644,2644,Y,Thompson Publishing Group,N,Y,Y,N
2659,2659,Y,America's Community Bankers,N,N,Y,N
2690,2690,Y,Institute of Chartered Accountants in England and Wales,N,N,Y,N
2716,2716,Y,ASM Communications,N,N,Y,N
2744,2744,Y,A & A Service,N,N,Y,N
2761,2761,Y,ASAE & The Center for Association Leadership,N,N,N,N
2823,2823,Y,American Institute of Chemical Engineers,N,N,Y,N
2831,2831,Y,American Society of Plant Biologists,N,N,Y,N
2837,2837,Y,Published by Order of the Trustees,N,N,Y,N
2854,2854,Y,Academy of Marketing Science,N,N,N,N
2887,2887,Y,Academy of Cancer Immunology,N,N,Y,N
2907,2907,Y,American College of Surgeons,N,N,Y,N
2911,2911,Y,American Psychological Association,N,N,Y,N
2918,2918,Y,International Atomic Energy Agency,N,Y,Y,N
2935,2935,Y,E. Ben Zvi,N,N,Y,N
2954,2954,Y,"American Association of Law Libraries, Automation and Scientific Development Special Interest Section",N,N,N,N
2957,2957,Y,American Society for Testing and Materials,Y,N,Y,N
2971,2971,Y,Africa Resource Center,N,N,N,N
2972,2972,Y,Asian Development Bank,N,N,Y,N
3005,3005,Y,Adverse Drug Reactions Advisory Committee,N,N,N,N
3008,3008,Y,Council on Library and Information Resources,N,N,Y,N
3022,3022,Y,American Foundation for AIDS Research,N,N,N,N
3023,3023,Y,American Academy of Medical Acupuncture Review,N,N,Y,N
3051,3051,Y,Appalachian College Association,N,N,Y,N
3068,3068,Y,K.G. Saur Verlag,N,N,Y,N
3072,3072,Y,European Geosciences Union,N,N,Y,N
3073,3073,Y,American Society for Range Management,N,N,Y,N
3074,3074,Y,Botanical Society of America,Y,N,Y,N
3078,3078,Y,NATO Information Service,N,N,Y,N
3087,3087,Y,Animal Welfare Institute,N,N,N,N
3098,3098,Y,American Vocational Education Research Association,N,N,Y,N
3107,3107,Y,American Association of School Administrators,Y,N,Y,N
3121,3121,Y,Stringer & Townsend,N,N,Y,N
3176,3176,Y,Library of Congress,N,Y,Y,N
3202,3202,Y,Academy of Managed Care Pharmacy,N,N,N,N
3205,3205,Y,International Monetary Fund,Y,Y,Y,N
3235,3235,Y,Asociacio?n Nacional de Economistas de Cuba,N,N,N,N
3292,3292,Y,"Polish Academy of Sciences, Institute of Pharmacology",N,N,N,N
3331,3331,Y,NOW,N,N,Y,N
3363,3363,Y,Anglia and Oxford Regional Health Authority,N,N,N,N
3374,3374,Y,American Geological Institute,N,N,Y,N
3381,3381,Y,OCLC,N,N,Y,N
3401,3401,Y,American Federation of Government Employees,N,N,Y,N
3499,3499,Y,Association of Research Libraries,Y,Y,Y,N
3552,3552,Y,Appalachian Regional Commission,N,N,Y,N
3568,3568,Y,University of Chicago Law School,N,N,Y,N
3572,3572,Y,Imprimerie nationale,N,N,Y,N
3590,3590,Y,Agricultural Statistics Board,N,N,Y,N
3591,3591,Y,Africa Bureau Information Center,N,N,Y,N
3624,3624,Y,Manana es Arte,N,N,N,N
3641,3641,Y,American Diabetes Association,N,N,Y,N
3652,3652,Y,American Red Cross,N,N,Y,N
3653,3653,Y,Association of College and Research Libraries,N,N,Y,N
3654,3654,Y,101 Communications,N,N,Y,N
3663,3663,Y,Arms Control Association,N,N,Y,N
3700,3700,Y,American Academy of Implant Dentistry,Y,N,N,N
3727,3727,Y,International Crops Research Institute for the Semi-Arid Tropics,N,N,Y,N
3734,3734,Y,Academy Book Bindery,N,N,Y,N
3772,3772,Y,American College of Medical Physics,N,N,Y,N
3807,3807,Y,McGill University,N,N,Y,N
3821,3821,Y,American Cleft Palate Association,N,N,N,N
3840,3840,Y,Water Environment Federation,N,N,Y,N
3861,3861,Y,"Ambasciata d'Italia in Canberra, Ufficio dell' Addetto Scientifico, Comitato di Redazione",N,N,Y,N
3880,3880,Y,Asian Human Rights Commission,N,N,Y,N
3895,3895,Y,African National Congress,N,N,N,N
3923,3923,Y,Carnegie Corporation of New York,N,N,Y,N
3981,3981,Y,Alternative Education Project,N,N,Y,N
3997,3997,Y,American Philological Association,N,N,Y,N
4032,4032,Y,Arbeitsgemeinschaft Rundfunkwerbung,N,N,Y,N
4057,4057,Y,Modern Language Association of America,N,N,Y,N
4059,4059,Y,All'insegna del giglio,N,N,N,N
4071,4071,Y,Albuquerque Archaeological Society,N,N,Y,N
4102,4102,Y,Artforum,N,N,Y,N
4107,4107,Y,ABB Asea Brown Boveri,N,N,Y,N
4136,4136,Y,Asian Network for Scientific Information,N,N,Y,N
4146,4146,Y,University of Miami,N,N,N,N
4154,4154,Y,Aslib,N,N,Y,N
4198,4198,Y,Abraham Lincoln Association,N,N,Y,N
4221,4221,Y,American Arachnological Society,N,N,Y,N
4271,4271,Y,American Public Transit Association,N,N,Y,N
4311,4311,Y,International Communication Association,N,N,Y,N
4323,4323,Y,International Union of Crystallography,N,N,Y,N
4324,4324,Y,American Veterinary Radiology Society,N,N,Y,N
4361,4361,Y,American Society of Comparative Law,N,N,N,N
4362,4362,Y,American Psychiatric Association,N,N,Y,N
4368,4368,Y,Brooklyn Law School,N,N,Y,N
4401,4401,Y,"Duke University, School of Law",N,N,Y,N
4402,4402,Y,American Association of Law Libraries,N,N,Y,N
4432,4432,Y,D. Griswold,N,N,N,N
4515,4515,Y,University of Arkansas at Little Rock,N,N,N,N
4523,4523,Y,Africa News Service,N,N,Y,N
4530,4530,Y,Whittier College School of Law,N,N,Y,N
4552,4552,Y,Alaska Bar Association,N,N,Y,N
4574,4574,Y,Western State University Law Review Association,N,N,Y,N
4599,4599,Y,American College of Tax Counsel,N,N,Y,N
4602,4602,Y,Yale Law School,N,N,Y,N
4623,4623,Y,UCLA School of Law,N,N,Y,N
4635,4635,Y,Access Intelligence,N,N,Y,N
4665,4665,Y,Trustees of the University of Pennsylvania,N,N,N,N
4677,4677,Y,"Nova University, Center for the Study of Law",N,N,Y,N
4680,4680,Y,Villanova University School of Law,N,N,Y,N
4753,4753,Y,"Advisor Publications, Inc",N,N,N,N
4816,4816,Y,American Lawyer Media,N,N,Y,N
4941,4941,Y,Newspaper Association of America,N,N,N,N
5032,5032,Y,A/S/M Communications,N,N,Y,N
5196,5196,Y,University of Minnesota Law School,N,N,Y,N
5351,5351,Y,American Jewish Historical Society,N,N,Y,N
5362,5362,Y,Academy of American Franciscan History,N,N,Y,N
5363,5363,Y,Gallaudet University Press,N,N,Y,N
5372,5372,Y,Advertising Educational Foundation,N,N,Y,N
5375,5375,Y,American College Personnel Association,N,N,Y,N
5379,5379,Y,Western Illinois University,N,N,Y,N
5400,5400,Y,African Studies Association,N,N,Y,N
5421,5421,Y,Psychonomic Society,N,N,Y,N
5423,5423,Y,Humana Press,N,N,Y,N
5426,5426,Y,Institute of Metals,N,N,Y,N
5436,5436,Y,London School of Economics,N,N,Y,N
5443,5443,Y,Agricultural Economics Society,N,N,Y,N
5463,5463,Y,Acta Medica Belgica,N,N,Y,N
5471,5471,Y,Baillie?re Tindall,N,N,Y,N
5538,5538,Y,National Fire Protection Association,N,N,Y,N
5545,5545,Y,Biochemical Society,N,N,Y,N
5578,5578,Y,Archives & Museum Informatics,N,N,Y,N
5579,5579,Y,Lippincott Williams & Wilkins,N,N,Y,N
5626,5626,Y,American Oil Chemists' Society,N,N,Y,N
5629,5629,Y,"Editrice ""Il sedicesimo""",N,N,Y,N
5686,5686,Y,American Camping Association,N,N,Y,N
5692,5692,Y,Allan Mann Publications,N,N,Y,N
5714,5714,Y,Alma Egan Hyatt Foundation,N,N,N,N
5729,5729,Y,Aboriginal Multi-Media Society of Alberta,N,N,Y,N
5759,5759,Y,American Forces Information Service,N,N,Y,N
5808,5808,Y,Arthur Frommer Magazines,N,N,Y,N
5832,5832,Y,American Trade Pub. Co,N,N,Y,N
5846,5846,Y,Association for the Study of Connecticut History,N,N,N,N
5862,5862,Y,American Conservative,N,N,Y,N
5887,5887,Y,American Society of Limnology and Oceanography,N,N,Y,N
5898,5898,Y,American Association of Petroleum Geologists,N,N,Y,N
5899,5899,Y,American Society of Agronomy,Y,Y,Y,N
5904,5904,Y,American Veterinary Medical Association,Y,N,Y,N
5905,5905,Y,American Association of Neurological Surgeons,N,N,Y,N
5914,5914,Y,American Phytopathological Society,Y,N,Y,N
5916,5916,Y,American Society for Pharmacology and Experimental Therapeutics,N,N,Y,N
5923,5923,Y,Canadian Wildlife Service,N,Y,Y,N
5928,5928,Y,APS Press,N,N,Y,N
5955,5955,Y,Landes Bioscience,Y,N,Y,N
5956,5956,Y,American Institute of Aeronautics and Astronautics,Y,N,Y,N
5970,5970,Y,Mathematical Sciences Publishers,N,N,Y,N
5975,5975,Y,Operational Research Society,N,N,N,N
6026,6026,Y,Minority Business Entrepreneur,N,N,Y,N
6027,6027,Y,"AIM, Inc",N,N,N,N
6031,6031,Y,About ... Time Magazine,N,N,Y,N
6056,6056,Y,Asian Reporter,N,N,Y,N
6085,6085,Y,Africa Analysis,N,N,Y,N
6149,6149,Y,Institute of Radio Engineers,N,N,Y,N
6160,6160,Y,Geological Society of America,Y,Y,Y,N
6167,6167,Y,Royal Society of London,N,N,Y,N
6174,6174,Y,Entomological Society of America,Y,Y,Y,N
6177,6177,Y,American Society of Parasitologists,N,N,Y,N
6179,6179,Y,American Society of Plant Taxonomists,N,N,Y,N
6180,6180,Y,American Bryological and Lichenological Society,N,N,Y,N
6184,6184,Y,New York Botanical Garden,N,N,Y,N
6185,6185,Y,American Association of Avian Pathologists,N,N,Y,N
6190,6190,Y,American Fern Society,N,N,Y,N
6192,6192,Y,Academy of Natural Sciences of Philadelphia,N,N,Y,N
6202,6202,Y,Alliance Communications Group,N,N,Y,N
6213,6213,Y,American Association of Teachers of French,N,N,Y,N
6217,6217,Y,American Association of Teachers of Spanish and Portuguese,N,N,Y,N
6218,6218,Y,"Harcourt, Brace & World",N,N,Y,N
6273,6273,Y,American Geographical Society of New York,N,N,Y,N
6275,6275,Y,American Anthropological Association,Y,N,Y,N
6279,6279,Y,American Publication Society of Hebrew,N,N,Y,N
6286,6286,Y,Mathematical Association of America,N,N,Y,N
6301,6301,Y,Sawell Publications,N,N,Y,N
6335,6335,Y,American Association for Cancer Research,N,N,Y,N
6340,6340,Y,Association for the Study of Internal Secretions,N,N,N,N
6342,6342,Y,American Physiological Society,Y,Y,Y,N
6344,6344,Y,American Psychiatric Press,N,N,Y,N
6345,6345,Y,American Society of Hematology,N,N,Y,N
6350,6350,Y,American Thoracic Society,N,N,Y,N
6352,6352,Y,American Society of Tropical Medicine and Hygiene,N,N,Y,N
6356,6356,Y,Journals of Reproduction and Fertility Ltd,N,N,Y,N
6368,6368,Y,American Society for Cell Biology,N,N,Y,N
6395,6395,Y,"A.K. Peters, Ltd",N,N,N,N
6405,6405,Y,Bepress.com,N,N,Y,N
6425,6425,Y,American Fisheries Society,N,N,Y,N
6472,6472,Y,American Association of Colleges of Pharmacy,N,N,Y,N
6473,6473,Y,American Society for Microbiology,Y,Y,Y,N
6477,6477,Y,American Medical Informatics Association,N,N,N,N
6484,6484,Y,Canadian Veterinary Medical Association,N,N,Y,N
6485,6485,Y,Amphibian and Reptile Conservation,N,N,Y,N
6490,6490,Y,Associated Business Publications,N,N,Y,N
6492,6492,Y,Biophysical Society,N,N,Y,N
6506,6506,Y,American Ophthalmological Society,N,N,Y,N
6510,6510,Y,American Society for Investigative Pathology,N,N,Y,N
6550,6550,Y,Arizona State University,N,N,Y,N
6558,6558,Y,AlphaMed Press,N,N,Y,N
6559,6559,Y,Anthropoetics,N,N,Y,N
6598,6598,Y,Alan Jacobs,N,N,Y,N
6604,6604,Y,American Communication Association,N,N,Y,N
6613,6613,Y,Academic Journals,N,N,Y,N
6636,6636,Y,Dartmouth College,N,N,Y,N
6723,6723,Y,Academia Brasilara de Neurologia,N,N,N,N
6727,6727,Y,Academia Nacional de Medicina,N,N,N,N
6764,6764,Y,Associac?a?o Brasileira de Cie?ncias Meca?nicas,N,N,Y,N
6781,6781,Y,Associac?a?o Brasileira de Psicologia Social,N,N,Y,N
6814,6814,Y,Asociacio?n Interciencia,N,N,Y,N
6840,6840,Y,Do? Gakkai,N,N,Y,N
6848,6848,Y,Sociedad MEDIFAM,N,N,N,N
6855,6855,Y,Aegean Neurological Society,N,N,Y,N
6862,6862,Y,Asociaci?on Costarricense de Cardiologi?a,N,N,Y,N
6863,6863,Y,Associac?a?o Brasileira de Po?s-Graduac?a?o em Sau?de Coletiva,N,N,Y,N
6872,6872,Y,Associac?a?o Paulista de Medicina,N,N,N,N
6965,6965,Y,Hrvatsko kemijsko drus?tvo,N,N,Y,N
6978,6978,Y,Science Publications,N,N,Y,N
6984,6984,Y,Academic Conferences International,N,N,Y,N
7009,7009,Y,Indian Council of Medical Research,N,N,Y,N
7011,7011,Y,Asociacio?n Latinoamericana de Produccio?n Animal,N,N,Y,N
7054,7054,Y,African Networks on Ethnomedicines,N,N,N,N
7059,7059,Y,Anestesia pediatrica e neonatale,N,N,Y,N
7095,7095,Y,Acade?mie nationale de chirurgie,N,N,Y,N
7096,7096,Y,ABES,N,N,Y,N
7099,7099,Y,University of Glasgow,N,N,Y,N
7149,7149,Y,Asociacio?n Argentina de Investigadores en Ciencias de la Ingenieri?a Qui?mica y Qui?mica Aplicada,N,N,Y,N
7155,7155,Y,African Seabird Group,N,N,Y,N
7159,7159,Y,Arbeitsgemeinschaft fu?r Medizinisches Bibliothekswesen,N,N,Y,N
7184,7184,Y,Associac?a?o Brasileira de Educac?a?o Me?dica,N,N,Y,N
7195,7195,Y,Asociacio?n de Bio?logos de la Universidad Nacional Mayor de San Marcos,N,N,Y,N
7214,7214,Y,Asociacio?n Profesional Gallega de Terapeutas Ocupacionales,N,N,Y,N
7286,7286,Y,ARRAY Development,N,N,Y,N
7291,7291,Y,Anjuman-i Bihda?sht-i I?ra?n,N,N,Y,N
7330,7330,Y,American Federation of Teachers,N,N,N,N
7342,7342,Y,American Vacuum Society,N,N,Y,N
